,Job Title,Company,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
0,Business Analyst,RBC,"['business analysis', 'business analysis planning', 'business analysis approach', 'business analysis certification', 'vendors. requirements management', 'capital markets', 'lead requirements activities', 'results-oriented business analyst', 'quality products/services. work', 'production support teams', 'opportunity employment rbc', 'capital markets team', 'st west work', 'rbc royal bank', 'requirements analysis', 'markets industry experience', 'project management institute', 'great career opportunities', 'stakeholder analysis', 'iterative approach. experience', 'greater accountabilities opportunities', 'data mapping documents', 'documentation previous/current capital', 'junior team members', 'centralized trade data', 'fast paced environment.', 'diversified financial services', 'capital markets products', 'services flexible work/life', 'permanent career level', 'finished projects. leadership', 'analytical skills. expertise', 'consumers. technical skills', 'balance options opportunities', 'requirements. murex fx', 'equal opportunity employer', 'total rewards program', 'office employment type', 'world-class training program', 'salaried required travel', 'aboriginal/native american status', 'request. job summary', 'medium complexity sql', 'factors. disability-related accommodations', 'hire/professional pay type', 'career alerts', 'work flows', 'work environment', 'estimate requirements', 'gathering requirements', 'relationship management', 'development teams', 'qa teams', 'credit experience', 'wealth management', 'qa activities', 'career tips', 'high-performing team', 'production support.', 'manage process', 'agile environment', 'documentation – facilitate', 'test plans', 'largest bank', 'investor services', 'asset classes', 'institutional clients', 'manage risks', 'pmi – pba', 'global basis.', 'application process', 'competitive compensation', 'rbc. sign', 'different initiatives', 'market capitalization.', 'north america', 'commercial banking', 'latest jobs', 'recruitment events', 'people manager', 'new future', 'applicable leaders', 'req id', 'part-time employees', 'close relationships', 'largest banks', 'acceptance criteria', 'flexible benefits', 'application deadline', 'effort estimation', 'sexual orientation', 'veterans status', 'visit rbc.com', 'public sector', 'gender identity', 'national origin', 'elicitation', 'communities', 'canada', 'fpml']","['Requirements analysis', 'Project management', 'Business analyst', 'Business analysis', 'Systems analysis', 'Requirement', 'Equal opportunity', 'Business', 'Requirements management']",[],"['team', 'consulting', 'team', 'team', 'passion']",[]
1,Business Analyst II,TJX Canada,"['local law. tjx', 'benefits package.  tjx', 'tjx canada', 'user acceptance test', 'tjx companies', 'business analysis skills', 'business analysis experience', 'analyzes business processes', 'relevant business experience', 'strong communication skills', 'strong analytical skills', 'strong facilitation skills', 'ba approach/plan drives', 'tk maxx', 'user test preparation', 'appropriate ba approach', 'operations solution delivery', 'acceptance test cases', 'acceptance test execution', 'business analyst', 'industry best practices', 'applicable project methodology', 'industry standard methodologies', 'define leading solutions', 'north american selling', 'key solution delivery', 'party product solutions', 'canadian divisions.   major', 'sierra trading post', 'ms office suite', 'minimum formal education', 'business operations', 'ba deliverables', 'experienced ba', 'tj maxx', 'ba work', 'techniques  skills', 'diverse skills', 'solution requirements', 'test strategies', 'analysis collaborates', 'strong understanding', 'requirements elicitation', 'terrific place', 'user adoption', 'applicable state', 'project management', 'test phases', 'career opportunities', 'solution engineering', 'medium projects', 'special projects', 'experienced bas', 'stakeholder identification', 'home fashions', 'industry leader', 'implementation planning', 'off-price retailer', '33 billion', 'related compliance', 'technical/configuration work', 'exciting place', 'amazing value', 'technical teams', 'basic understanding', 'retail chains', 'process improvements.', 'complex problems', 'day-to-day liaison', 'approval partners', 'planning phase', 'e.g. waterfall', 'military status', 'requirements definition', 'scrum/ agile', 'following activities', 'scope changes', 'decision making', 'limited guidance', 'logical parts', 'competitive salary', 'mass pike', 'organizational change', 'sexual orientation', 'gender identity', 'national origin', 'reasonable accommodations', 'homesense', 'marshalls', 'associates', 'u.s.', 'u.k.', 'style', 'knowledge', 'disabilities', 'homegoods', 'elicits', 'support', 'smes', 'reviews']","['TJX Companies', 'Project management', 'T.K. Maxx', 'T.J. Maxx', 'HomeSense', 'HomeGoods', 'Acceptance testing', 'Business analysis', 'Marshalls', 'Zayre', 'Retail companies of the United Kingdom', 'Business analyst', 'User story', 'Requirements analysis', 'Winners', 'Off-price department stores of the United States', 'Companies established in 1976', 'Management', 'Systems analysis', 'Business terms', 'Business process']",[],['team'],[]
2,Business Analyst - FX Cash,RBC,"['rbc capital markets.', 'opportunity employment rbc', 'rbc royal bank', 'murex sme teams', 'office. detailed business', 'advanced fx bank', 'market products. experience', 'great career opportunities', 'mm businesses. communicate', 'capital markets products', 'management direction. ability', 'validate test plans.', 'risk functions. familiarity', 'permanent career level', 'biggest re-engineering projects', 'diversified financial services', 'in-house developed micro-services.', 'office employment type', 'equal opportunity employer', 'international technology team.', 'st west work', 'comprehensive total rewards', 'skills. strong record', 'salaried required travel', 'current state', 'foreign exchange', 'money market', 'aboriginal/native american status', 'request. job summary', 'factors. disability-related accommodations', 'hire/professional pay type', 'career alerts', 'business requirements', 'business flows', 'business users', 'business analyst', 'requirements. work', 'career tips', 'possible. liaise', 'solid experience', 'requirements definitions', 'largest bank', 'trading space', 'refine specifications', 'work environment', 'market capitalization.', 'technology stack', 'regulatory programs.', 'opportunities ability', 'complete renovation', 'high performance', 'competitive compensation', 'rbc. sign', 'north america', 'trade capture', 'commercial banking', 'new future', 'global basis.', 'investor services', 'lasting impact', 'applicable leaders', 'latest jobs', 'recruitment events', 'application process', 'institutional clients', 'req id', 'part-time employees', 'wealth management', 'mutual. participation', 'people manager', 'largest banks', 'application deadline', 'flexible benefits', 'sexual orientation', 'visit rbc.com', 'public sector', 'veterans status', 'gender identity', 'national origin', 'communities', 'finance', 'operations', 'development', 'canada', 'difference', 'mifid', 'readability', 'bonuses', 'reviews', 'analysis', 'way', 'pricing', 'systems', 'needs', 'documents', 'focus', 'knowledge', 'areas', 'communication', 'priorities.']","['Royal Bank of Canada', 'RBC Capital Markets', 'Equal opportunity']",[],"['team', 'team', 'team', 'communicate', 'verbal', 'team', 'passion']",[]
3,Business Analyst Canada,American Express,"['global data strategy', 'american express', 'global commercial payments', 'process efficiencies  ability', 'corporate payments solutions', 'fast growing business.', 'profitable charge volume', 'business decision-making process', 'skills  commercial awareness', 'guide programming skills', 'express big data', 'datasets  strong results', 'gcp canada.', 'incumbent reporting', 'proactive approach', 'global leader', 'new insights', 'analytical skills', 'tableau  exposure', 'critical role', 'analytic strategies', 'dynamic organization.', 'tight deadlines', 'analyst position', 'drive execution', 'data issues', 'organization targets', 'status quo', 'business needs', 'development dimensions', 'good understanding', 'new tools', 'segment. qualifications', 'ad org’n', 'analytical recommendations', 'advanced ms', 'self-driven. reqid', 'willingness', 'growth', 'sales', 'manager', 'leadership', 'team', 'trends', 'ds&i', 'levers', 'regards', 'reviews', 'space', 'success', 'opportunity', 'achievement', 'performance', 'individual', 'communication', 'enterprise', 'pressure', 'eye']","['Status Quo', 'Management', 'Status quo', 'Leadership', 'Critical thinking', 'Decision making', 'Analytic philosophy', 'Proactive', 'Problem solving', 'Credit card', 'Analytic']","['programming', 'big data']","['team', 'team']",[]
4,Business Analyst,RBC,"['business analysis', 'business analysis planning', 'business analysis approach', 'business analysis certification', 'vendors. requirements management', 'capital markets', 'lead requirements activities', 'results-oriented business analyst', 'quality products/services. work', 'production support teams', 'opportunity employment rbc', 'capital markets team', 'st west work', 'rbc royal bank', 'requirements analysis', 'markets industry experience', 'project management institute', 'great career opportunities', 'stakeholder analysis', 'iterative approach. experience', 'greater accountabilities opportunities', 'data mapping documents', 'documentation previous/current capital', 'junior team members', 'centralized trade data', 'fast paced environment.', 'diversified financial services', 'capital markets products', 'services flexible work/life', 'permanent career level', 'finished projects. leadership', 'analytical skills. expertise', 'consumers. technical skills', 'balance options opportunities', 'requirements. murex fx', 'equal opportunity employer', 'total rewards program', 'office employment type', 'world-class training program', 'salaried required travel', 'aboriginal/native american status', 'request. job summary', 'medium complexity sql', 'factors. disability-related accommodations', 'hire/professional pay type', 'career alerts', 'work flows', 'work environment', 'estimate requirements', 'gathering requirements', 'relationship management', 'development teams', 'qa teams', 'credit experience', 'wealth management', 'qa activities', 'career tips', 'high-performing team', 'production support.', 'manage process', 'agile environment', 'documentation – facilitate', 'test plans', 'largest bank', 'investor services', 'asset classes', 'institutional clients', 'manage risks', 'pmi – pba', 'global basis.', 'application process', 'competitive compensation', 'rbc. sign', 'different initiatives', 'market capitalization.', 'north america', 'commercial banking', 'latest jobs', 'recruitment events', 'people manager', 'new future', 'applicable leaders', 'req id', 'part-time employees', 'close relationships', 'largest banks', 'acceptance criteria', 'flexible benefits', 'application deadline', 'effort estimation', 'sexual orientation', 'veterans status', 'visit rbc.com', 'public sector', 'gender identity', 'national origin', 'elicitation', 'communities', 'canada', 'fpml']","['Requirements analysis', 'Project management', 'Business analyst', 'Business analysis', 'Systems analysis', 'Requirement', 'Equal opportunity', 'Business', 'Requirements management']",[],"['team', 'consulting', 'team', 'team', 'passion']",[]
5,Business Analyst,CIBC,"['project delivery experience', 'project delivery team', 'complex business requirements', 'entire project lifecycle.', 'accurate requirements gathering', 'teamwork building skills', 'relationship building skills', 'best-in-class onboarding experience', 'critical thinking skills', 'financial services institution', 'product training prosper', 'share purchase plan', 'individual development planning', 'ongoing learning opportunities', 'accessible candidate experience.', 'infrastructure fosters innovation', 'cibc', 'project success.', 'project contribution', 'business operations', 'work packages', 'business partners', 'business analyst', 'business analysis', 'present requirements', 'documenting requirements', 'facilitate requirements', 'valid work', 'passionate collaborators', 'right questions', 'inclusive team', 'implementation support', 'impactful way.', 'technology teams', 'key role', 'right technology', 'relationship-focused bank', 'process identification', 'data analysis', 'associated documentation', 'distinct culture', 'lead discussions', 'solution discussions', 'approachable culture', 'team members', 'test documentation.', 'complex problems', 'time role', 'different groups', 'detailed information', 'shared vision', 'empowers teams', 'concurrent activities', 'visit cibc.com', 'real self', 'overall organization', 'time base', 'inclusive environment', 'strong relationships', 'banking benefits', 'health benefits', 'collective success.', 'strong relationship', 'interview process', 'unique talents', 'wide range', 'collective success', 'contact mailbox.careers-carrieres', 'good idea', 'scheduling control', 'competitive salary', 'greatest asset.', 'creativity develop', 'best. values', 'home connect', 'diverse community', 'incentive pay', 'people', 'clients', 'end', 'collaboration', 'ability', 'innovators', 'understanding', 'reviews', 'mission', 'future', 'leaders', 'communities', 'stakeholders', 'capital', 'markets/wealth', 'management', 'presentations', 'implementation.', 'testing', 'cases', 'monitoring', 'productivity.', 'vendors.']","['Project management', 'Requirements analysis', 'Critical thinking', 'Business analyst', 'Requirement', 'Need to know', 'Business analysis', 'Systems analysis']",[],"['team', 'communicate', 'team', 'team', 'team']",[]
6,BUSINESS ANALYST,Treasury Board Secretariat,"['treasury board secretariat', 'operational systems. evaluate', 'business analysis tools', 'business/information systems solutions', 'service levels.   communication', 'service delivery costs', 'approval. review client', 'models. assist users', 'public service employees', 'project management skills', 'solution delivery methodologies', 'reports.   additional information', 'region  compensation group', 'collect necessary information.', 'business requirements', 'service costs', 'business system specifications', 'technical support', 'business/information requirements', 'technical expertise', 'information needs', 'interpersonal skills', 'technical problems', 'reasoning skills', 'central agencies', 'enterprise applications', 'exciting opportunity', 'potential benefits', 'operational improvements', 'detailed process', 'information/business requirements', 'technical documentation', 'technology acquisitions', 'information technology', 'office automation', 'data/object/process flow', 'various options', 'various methods.', 'e.g. uml', 'non-technical staff.', 'evaluation projects', 'collaboration tools.', 'implementation stages', 'job ad', 'definitions  schedule', 'feasibility', 'development', 'knowledge', 'solutions.', 'techniques', 'product', 'testing', 'interviews', 'stakeholders', 'jarvis', 'reviews', 'branch.', 'role', 'areas', 'architecture', 'deployment.', 'experience', 'technologies', 'networks', 'databases', 'workshops', 'risks.', 'proposals', 'research', 'training', 'projects.', 'descriptions', 'address', 'cluster']","['Project management', 'Business', 'Requirements analysis', 'Management', 'Technical support', 'Treasury Board Secretariat', 'Requirement', 'Operating system', 'Ontario Public Service Employees Union']",[],['interpersonal'],[]
7,Business Analyst,Johnson,"['business requirements/functional specifications', 'business analyst', 'senior business analyst', 'complex business situations', 'business analyst experience', 'subject-oriented business process', 'business process model', 'complex business needs', 'business analyst insurance', 'experienced business analysts', 'model business processes', 'language information analysis', 'huon application experience', 'business analysis', 'complex work assignments', 'process modelling tools', 'good facilitation skills', 'future working environment', 'project manager/practice leader', 'line. rsa group', 'effective team player', 'lead data gathering', 'financials/benefit planning platforms', 'concise business', 'development life cycle', 'change management issues', 'minority group members', 'personal information', 'complete business', 'effective system solutions', 'application solutions', 'experience   other information', 'analytical skills', 'communication skills', 'process engineering', 'work fun', 'recruitment process', 'organizational skills', 'job application', 'insurance knowledge', 'online application', 'immediate needs', 'p&c insurance', 'claims operations', 'email aoda', 'integrated testing', 'functional areas', 'team player.', 'effective documentation', 'casualty cip', 'status quo.', 'right way.', 'testing estimates', 'definite asset', 'email address', 'test strategy', 'ideas.rsa group', 'solid understanding', 'various technologies', 'accommodation requests.', 'technical designers', 'test matrices', 'policy rating', 'lean techniques', 'reasonable accommodation', 'time period', 'university degree', 'similar designation', 'extra mile', 'self starter', 'general direction', 'employment opportunities', 'career site', 'equivalent training', 'college diploma', 'development stages', 'lgbt community', 'quality assurance', 'in-depth understanding', 'superior problem', 'aboriginal persons', '-855-0511.  please note', 'companies', 'role', 'applications', 'disabilities', 'handover', 'liaise', 'johnson', 'reviews', 'contract', 'adonis', 'e.g.', 'diversification', 'customers\x92', 'things', 'brand', 'pride.']","['Business process modeling', 'Process management', 'Business analyst', 'Business process', 'Business process management', 'Business analysis', 'Business Process Modeling Notation', 'Business process improvement', 'Process modeling', 'Enterprise modelling', 'Recruitment', 'Business process mapping', 'Business process reengineering', 'Application for employment', 'Management', 'Workflow', 'Six Sigma', 'Application software', 'Process']",[],"['communicate', 'passion', 'team', 'team']",[]
8,Business Analyst,Loblaw,"['external data sources', 'performance metrics accountabilities', 'brand performance metrics', 'cross-functional business partners', 'business building strategies', 'program/promotional sales performance', 'data analytics role', 'business specific issues', 'presidents choice circle', 'skills superior organization', 'strong technical skills', 'loblaw brands', 'fast-paced retail environment', 'drug retail industry', 'today. employment type', 'employee self service', 'regular loblaw', 'great people', 'business performance', 'performance liaise', 'performance drivers', 'annual business', 'business administration', 'workday application', 'reliable people', 'relevant data', 'big one.', 'product portfolio', 'actionable insights', 'planning skills', 'critical department', 'insightful commentary', 'store level', 'strategic opportunities', 'financial benefits', 'brand management', 'consumer research', 'ad-hoc analyses', 'category reviews', 'college degree', 'periodic scorecards', 'team player', 'product mix', 'category teams', 'trend/research databases', 'related discipline', 'efficient processes', 'time type', 'deadlines ability', 'market audits', 'query tools', 'multiple tasks', 'ac nielsen', 'organization. accommodation', 'assessment process', 'national pride', 'hired. please note', 'experience', 'customer', 'company', 'job', 'mintel', 'euromonitor', 'microstrategy', 'support', 'location', 'ontario', 'l6y', 'growth', 'development', 'goals', 'control', 'reports', 'trends/results', 'pricing', 'distribution', 'brampton', 'problems', 'requirements', 'university', 'marketing', 'math', 'science', 'communication', 'levels', 'word', 'access', 'trendhunter', 'knowledge', 'food', 'culture.', 'trust', 'connections.', 'aggregate', 'canada', 'strength.', 'products', 'culture', 'request', 'disabilities']","['Brand management', 'Management', 'Brand', 'Retailing', 'Business']",[],['team'],['sql']
9,Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"['research financial literature', 'support business solutions', 'asset liability management', 'agile environment.  duties', 'team members/ cross-teams', 'external data sources', 'perform support duties', 'financial services industry', 'business/ actuary/ economics/', 'service level agreements.', 'financial modeling systems', 'verbal communications skills', 'daily production results', 'critical test cases', 'user acceptance testing', 'strong quantitative skills', 'development life cycle', 'various deliverables', 'financial modeling.', 'financial models', 'data analysis', 'business processes', 'business analyst', 'business analysts', 'investment solutions', 'self-motivated  · knowledge', 'testing  · work', 'document requirements', 'relevant documentation', 'pension plan', 'solution development', 'support shifts', 'good knowledge', 'close collaboration', 'investment management', 'simcorp dimension', 'numerix applications', 'engineering/ computer science', 'basic analysis', 'back-office processes', 'modeling tools', 'bachelor’s degree', 'cfa level', 'documented.  qualifications', 'good understanding', 'sap hana', 'vanilla securities', 'programming language', 'sql language', 'role', 'hoopp', 'developers', 'users', 'experience', 'fincad', 'stakeholder', 'visio', 'healthcare', 'reviews', 'finance', 'proficiency', 'responsibilities', 'professionalism', 'levels', 'issues', 'solutions.', '/math', 'job', 'problem', 'features', 'attributes', 'technique', 'concepts']","['Financial services', 'Business analyst', 'Investment', 'Insurance', 'Data analysis', 'Problem solving', 'User story', 'Acceptance testing', 'Financial modeling', 'Investment management', 'Bank', 'Programming language', 'Service', 'Microsoft Office', 'Data', 'Asset', 'Knowledge', 'Requirement', 'Software testing', 'Service level agreement', 'The A-Team', 'Inventory']",['programming'],"['team', 'team', 'team', 'verbal', 'team']",[]
10,Senior Business and Systems Analyst,City of Toronto,"['sap mobile applications', 'sap work manager', 'sap mobile platform', 'sap pm module', 'sap mobile work', 'sap pm work', 'sap plant .maintenance', 'extensive sap knowledge', 'sap plant maintenance', 'functions. sap certification', 'custom sap developments', 'sap standards', 'sap system landscape', 'various form factors', 'technical support maintains', 'project plans', 'time constraints. ability', 'detailed project documentation', 'others. performs business', 'support stack applications', 'project management tools', 'audience levels. ability', 'standard project plans', 'present project documentation', 'production support teams', 'current mobile market', 'new business concepts', 'automate business processes.', 'e.g. ms project', 'e.g. business case', 'external technical resources', 'pm master data', 'business requirements', 'production sign-off. supervises', 'work order', 'technical aspects', 'multidisciplinary team. knowledge', 'operations. represents division', 'experience. extensive experience', 'monitors timelines. reviews', 'cross divisional teams.', 'detailed research proposals', 'especially ios devices', 'temporary     major responsibilities', 'upcoming technological advancements.', 'user exits', 'job classification title.', 'sap-pm module.', 'periodic posting production', 'ontario human rights', 'high availability environment.', 'solution configuration', 'preventive maintenance', 'asset. knowledge', 'facilities management', 'business system applications', 'application support', 'systems. ability', 'skills. ability', 'solutions. ability', 'technical knowledge', 'project team', 'business specifications', 'work quality', 'order support', 'technical issues', 'mobile devices', 'work direction', 'support experience', 'pm module.', 'support problems', 'order application', 'technical concepts', 'city policies', 'accommodation policy', 'testing documents.', 'integration testing', 'safety. accommodation', 'senior management', 'high standards', 'daily issues', 'troubleshoots issues', 'application design', 'device management', 'extensive research', 'appropriate accommodation', 'performs system analysis', 'various audiences', 'corporation. reviews', 'debugs programs', 'level support.', 'impact analysis', 'operating systems', 'test scenarios.', 'functional specifications', 'order types', 'corporate policy', 'new techniques', 'year-end reporting.', 'change requests.']","['Project management', 'Technical support', 'Management', 'Problem solving', 'Team', 'Personal digital assistant', 'Mobile device']",['programming'],"['team', 'team', 'interpersonal', 'team', 'team']",[]
