,Course Name,Course Description,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
0,NUvention Analytics,"NUvention: AnalyticsåÊis a unique interdisciplinary course being designed to create opportunities for students to create new analytics technologies and then build businesses around their innovations. This one-quarter class is conceived by students within the Engineering, Business, Law, Communications and other schools across campus along with the assistance of an Advisory board and the Farley Center for Entrepreneurship and Innovation. The course is built around projects, so an advisory board will keep track of the projects, giving its expert advice in order to ensure a proper product-market alignment.","['new analytics technologies', 'unique interdisciplinary course', 'proper product-market alignment', 'advisory board', 'one-quarter class', 'Farley Center', 'expert advice']","['Entrepreneurship', 'Innovation', 'Real estate', 'Technology', 'Business', 'Joseph Schumpeter', 'Design', 'Education', 'Invention', 'Creativity', 'Corporation', 'Economic growth', 'Economics', 'Engineering', 'Creative problem solving', 'Advice', 'Management']",[],[],[]
1,Computer Simulation for Risk and Operations Analysis,"This is a hands-on course on computer simulation of business, service, and manufacturing systems that are subject to uncertainty or risk. Spreadsheet simulation using @Risk and system simulation using Arena will be covered. Upon completion of the course students will be able to develop complex simulation models, design the simulation experiment to be run on the model, and analyze and interpret the results. Managing simulation projects is also addressed.","['complex simulation models', 'hands-on course', 'Spreadsheet simulation', 'simulation experiment', 'simulation projects', 'uncertainty', 'risk', 'completion', 'analyze', 'Arena', 'business', 'service', 'systems', 'students', 'design']","['Computer graphics', 'Computer simulation', 'Operations research', 'Management', 'Systems engineering', 'Risk management', 'System']","['simulation', 'simulation', 'simulation', 'simulation', 'simulation', 'simulation']",[],[]
2,Everything Starts with Data,This course provides aåÊfundamentalåÊpractical coverage of analytics. The focus of the course is to expose you to challenges and opportunities in analytics through a couple of projects. We will be using the tools that you learned in the boot camp. The majority of the material and lecturing will be computer based.åÊ,"['boot camp', 'aåÊfundamentalåÊpractical coverage', 'analytics', 'lecturing', 'majority', 'couple', 'challenges', 'course', 'focus', 'opportunities', 'projects', 'tools', 'material']","['Mac OS X', 'Focus']",[],[],[]
3,Predictive Analytics I,"This course covers linear parametric methods of regression and classification. They include multiple regression, binary logistic regression, multinomial (nominal and ordinal) logistic regression, discriminant analysis and generalized linear models. R software is used to apply the methods to real data sets. A large data analysis group project required.","['binary logistic regression', 'linear parametric methods', 'generalized linear models', 'multiple regression', 'analysis group project', 'real data sets', 'discriminant analysis']","['Regression analysis', 'Logistic regression', 'Generalized linear model', 'Linear regression', 'Econometrics', 'Logit', 'Multivariate adaptive regression splines', 'Ordinary least squares', 'Multinomial logit', 'Censored regression model', 'Georg Cantor', 'Statistics', 'Errors and residuals in statistics', 'Parametric statistics', 'Iteratively reweighted least squares', 'Probit model', 'Segmented regression', 'Forecasting', 'Statistical inference', '0', 'Multiplication', 'Natural number']","['regression', 'regression', 'regression', 'regression']",[],['R']
4,Business Communication & Analytics Consulting,"In this class, we examine project management, business communication, and client interaction best practices that support the MSiA practicum and capstone projects. Special emphasis is given to translating or relating the analytical output of projects to the vocabulary and expectations of business functions in marketing, operations, and finance. We examine the best practices in managing client / employer expectations in the analytical environment. This provides students with the tools to successfully navigate the challenges of leading analytical projects while developing top-notch client-facing skills for their careers.","['interaction best practices', 'top-notch client-facing skills', 'MSiA practicum', 'employer expectations', 'capstone projects', 'project management', 'business communication', 'Special emphasis', 'analytical output', 'business functions', 'analytical environment', 'analytical projects']","['Management', 'Project management', 'Leadership', 'Project', 'Economics', 'Business', 'Plan', 'Communication', 'Cone of Uncertainty', 'Best practice', 'Marketing']",[],[],[]
5,Data Visualization,"A variety of data is being generated by businesses, government entities, and human activities at increasing rates and complexity. The goal of this course is to expose students to key design principles and techniques that can increase the understanding of complex data, and gain valuable insights for the data. Good visualizations present a visual interpretation of the data and also improve comprehension, communication, and decision making. Concepts, techniques, and methods for creating effective data visualizations will be covered. The course will also have a focus on how to present information clearly and effectively.","['gain valuable insights', 'effective data visualizations', 'key design principles', 'Good visualizations', 'government entities', 'human activities', 'visual interpretation', 'decision making', 'complex data', 'course', 'techniques', 'comprehension', 'complexity', 'variety', 'businesses', 'rates', 'goal', 'students', 'understanding', 'focus', 'information', 'communication']","['Cognition', 'Complexity', 'Variety', 'Abstraction', 'Decision making', 'Data', 'Business']",[],[],[]
6,Business Value from Analytics in the Digital Age,"In this class, we examine the role of the analytical function in various enterprises. Through leveraging real-world cases, we discover how a data scientist can be more impactful to the enterprise. Specifically, we study the role and structure of analytical teams. Students examine the return on investment, technical requirements, and strategic impacts of leading and operating an analytics team in the enterprise. We also investigate data monetization strategies for data rich firms. Specific emphasis is given to developing the leadership perspective on becoming the Chief Data Officer.","['data monetization strategies', 'Chief Data Officer', 'data rich firms', 'real-world cases', 'various enterprises', 'analytical function', 'strategic impacts', 'data scientist', 'analytics team', 'technical requirements', 'analytical teams', 'Specific emphasis', 'leadership perspective', 'role', 'return']","['Starship Enterprise', 'Sociology', 'Investment', 'Rate of return', 'Star Trek: The Next Generation', 'Star Trek: First Contact', 'Subroutine', 'Starfleet', 'Net present value', 'Borg', 'Hero', 'The Return', 'Strategy', 'Leadership', 'Team', 'Positive psychology', 'Star Trek: Enterprise', 'The A-Team', 'Tribal chief', 'Internal rate of return']",[],['team'],[]
7,Introduction to Databases & Information Retrieval,"The main goal of this course is to expose the students to the fundamentals of the Data Management and Database Systems in general and, more specifically, to Database Design and Querying, providing a balance between the breadth and the depth.","['main goal', 'Data Management', 'Database Systems', 'Database Design', 'breadth', 'Querying', 'fundamentals', 'balance', 'depth']",[],"['Database', 'Database']",['Management'],[]
8,Text Analytics,"This course will explore techniques to analyze unstructured text such as that found in emails, text messages, conversation transcripts, web pages, books,åÊscientific journals, etc. The course strives to offer a balance between breadth and depth, presenting both an overview of the field as well as some insight intoåÊthe mathematical underpinning of a few representative techniques.","['conversation transcripts', 'unstructured text', 'mathematical underpinning', 'web pages', 'books,åÊscientific journals', 'text messages', 'representative techniques', 'breadth', 'emails', 'course', 'balance', 'depth', 'insight', 'overview']","['Mobile phone', 'Web browser', 'Text messaging', 'World Wide Web', 'Breadth-first search']",['unstructured'],[],[]
9,Predictive Analytics II,"Non-parametric regression and classification, principal components analysis and dimension reduction, time series, and quality control methods.","['Non-parametric regression', 'principal components analysis', 'dimension reduction', 'quality control methods', 'time series']","['Singular value decomposition', 'Quality control', 'Nonparametric regression', 'Singular spectrum analysis', 'Management', 'Data analysis', 'Principal component analysis']",['regression'],[],[]
