Skills,Frequency
machine learning,2973
big data,1374
statistics,1311
programming,1270
database,1044
algorithms,1004
cloud,966
deep learning,402
visualization,356
structured,352
regression,292
data visualization,269
unstructured,257
natural language processing,221
predictive modeling,187
clustering,164
visualize,97
simulation,82
supervised,77
unsupervised,70
probability,54
ensemble,37
xgboost,36
wrangling,5
algorithms  data,2
gradient descent/backpropagation,1
"predictive modeling, statistical",1
python,1943
sql,870
hadoop,777
java,598
tableau,412
R,344
hive,323
scala,296
spark,268
sas,175
hbase,108
c++,106
matlab,88
pig,71
mapreduce,45
ssrs,24
presto,21
mongodb,21
javascript,20
kafka,19
amazon-web-services,18
reactjs,15
machine-learning,15
mysql,14
etl,13
apache-spark,13
linux,12
redshift,12
node.js,9
perl,9
postgresql,9
ssas,8
algorithm,7
pandas,7
alteryx,7
c/c++,6
data-science,6
database,5
tensorflow,5
bash,4
scrum,4
bigdata,4
cloud,4
google-cloud-platform,4
html,4
analytics,4
angularjs,4
data,4
go,4
cassandra,4
security,3
sysadmin,3
css3,3
redis,3
ecmascript-6,3
numpy,3
css,3
scipy,3
user-experience,3
c#,3
docker,3
d3.js,3
git,3
ruby-on-rails,3
html5,3
swift,3
typescript,3
caffe,3
enthought,2
angular,2
apache,2
kubernetes,2
clojure,2
azure,2
objective-c,2
data-lake,2
django,2
oracle,2
functional-programming,2
akka,2
agile,2
geopandas,2
fluid-dynamics,2
grpc,2
unix,2
ibm-watson-cognitive,2
playframework-2.0,2
ruby,2
nosql,2
devops,2
fortran,2
ios,2
elasticsearch,2
chef,2
php,2
continuous-integration,2
api,2
user-interface,1
ansible,1
web-scraping,1
linux-kernel,1
asp.net-mvc,1
frameworks,1
jsp,1
databricks,1
statistics,1
open-source,1
continuous-deployment,1
project-management,1
qt,1
jenkins,1
assembly,1
pim,1
java-ee,1
redux,1
mobile,1
soap,1
scikit-learn,1
.net,1
development-environment,1
python-3.x,1
standards-compliance,1
lucene,1
google-bigquery,1
react-native,1
saas,1
dom,1
monitoring,1
symfony,1
model-view-controller,1
sql-server,1
puppet,1
web-services,1
rest,1
distributed-system,1
vue.js,1
graphql,1
c,1
nlp,1
design,1
scala.js,1
data-modeling,1
json,1
medical,1
pyspark,1
erlang,1
jsf,1
spring,1
amazon-redshift,1
backbone.js,1
search,1
vba,1
jetty,1
apache-kafka,1
solr,1
p2p,1
bootstrap-4,1
torch,1
openstack,1
celery,1
eclipse-rcp,1
artificial-intelligence,1
theano,1
market,1
agile-project-management,1
architecture,1
automation,1
computer-forensics,1
pytorch,1
team,6854
communicate,931
creative,653
verbal,628
passion,579
interpersonal,456
consulting,377
speaking,28
proactive,13
soft skills,6
