,title,company,skillText
1,Business Analyst,RBC," rbc      2,378 reviews  -    what is the opportunity? our global capital markets team is looking for an energetic and results-oriented business analyst to work in a dynamic and fast paced environment. you will work closely with our cm it and ops teams on multiple it projects gathering requirements, supporting qa activities, and facilitating transition of projects to production support. you will be responsible for execution of all aspects of requirements delivery - planning, elicitation, analysis and documentation, management, and support. we are committed to keep our people engaged and giving the opportunity to participate in different initiatives and grow within the organization. what will you do? business analysis planning – stakeholder analysis, estimate requirements, manage risks, assumptions & constraints, define business analysis approach, and lead requirements activities to drive business priorities. the responsible for maintaining work flows and data mapping documents up-to-date for our centralized trade data repositories. requirements analysis & documentation – facilitate, elicit, analyze, document, provide consulting and partner with 3rd party vendors. requirements management & support- manage process from elicitation through to testing & implementation. work with development teams to ensure requirements are well understood and acceptance criteria is clear. work with qa teams to ensure test plans are complete and we deliver high quality products/services. work with production support teams to transition support of finished projects. leadership & relationship management – provide guidance and support to junior team members, build relationships internally and externally to create an environment of cooperation, collaboration and teamwork. what do you need to succeed?  must-have: 3-5+ years’ experience as a business analyst in it with strong analytical skills. expertise documenting workflows and data mapping to support development and reporting needs as well as integration with downstream consumers. technical skills:  ability to write medium complexity sql queries and understanding fpml, xml; ability to work in agile environment / iterative approach. experience in requirements planning and prioritization including stakeholder analysis and effort estimation, requirements analysis and documentation previous/current capital markets industry experience (any asset classes)  nice to have: certified business analysis professional (cbap) or project management institute –professional in business analysis certification (pmi – pba) (preferred). understanding of it methodologies, change management & audit requirements. murex fx, rates and credit experience mifid experience what’s in it for you? we thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. we care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual. a comprehensive total rewards program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable leaders who support your development through coaching and managing opportunities work in a dynamic, collaborative, progressive, and high-performing team a world-class training program in financial services flexible work/life balance options opportunities to take on progressively greater accountabilities opportunities to building close relationships with clients about rbc royal bank of canada is canada’s largest bank, and one of the largest banks in the world, based on market capitalization. we are one of north america’s leading diversified financial services companies, and provide personal and commercial banking, wealth management, insurance, investor services and capital markets products and services on a global basis. we have over 80,000 full- and part-time employees who serve more than 16 million personal, business, public sector and institutional clients through offices in canada, the u.s. and 37 other countries. for more information, please visit rbc.com . get career alerts stay in-the-know about great career opportunities at rbc. sign up for career alerts and get customized info on our latest jobs, career tips and recruitment events that matter to you. expand your limits and create a new future together at rbc. find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers . inclusion and equal opportunity employment rbc is an equal opportunity employer committed to diversity and inclusion. we are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, aboriginal/native american status or any other legally-protected factors. disability-related accommodations during the application process are available upon request. job summary city:  toronto address:  155 wellington st west work hours/week:  37.5 work environment:  office employment type:  permanent career level:  experienced hire/professional pay type:  salaried required travel (%):  0 exempt/non-exempt:  n/a people manager:  no application deadline:  2018-03-25 req id:  159056 posting notes:  [[mfield1]]   13 days ago     -   save job"
2,Business Analyst II,TJX Canada," tjx canada      193 reviews  -    success is always in style at tjx! continue to explore career opportunities at tjx, a fortune 100 company and the leading off-price retailer of apparel and home fashions in the u.s. and worldwide. at tjx, we are proud that, for 40 years, we have been providing amazing value to our customers, but the merchandise we sell is just part of our story. we believe our associates bring our business to life, and we aim to support you by making tjx a terrific place to work. we are committed to leveraging our differences, and believe that the diverse skills, experiences and background that you bring into the organization will help us continue to succeed.  our retail chains include tj maxx, marshalls, homegoods, sierra trading post and homesense, as well as tjmaxx.com and sierratradingpost.com in the u.s.; winners, homesense and marshalls in canada; tk maxx in the u.k., ireland, germany, poland, austria and the netherlands, as well as homesense and tkmaxx.com in the u.k.; and tk maxx in australia. with over $33 billion in sales, more than 3,800 stores, and 235,000 associates in 2016, tjx is an exciting place to grow your career!   business analyst ii  we are looking for a business analyst ii to join our north american selling and store operations solution delivery team. using knowledge of industry best practices and business analysis skills you will help plan, analyze and define leading solutions to our rapidly growing north american and canadian divisions.   major duties / responsibilities  with some guidance or coaching from a more experienced ba, works closely with business and it sme's in performing the following activities in support of assigned projects or initiatives:  develops a strong understanding of the business operations in a domain analyzes business processes, and elicits and defines both business and solution requirements using industry standard methodologies may provide input for the sizing/estimation of ba work during a planning phase defines the ba approach/plan drives stakeholder identification and analysis collaborates on the development of test strategies and plan(s) drives the creation of user acceptance test cases and manages user acceptance test execution and approval partners with the stakeholders to help drive user adoption of the solution. acts as day-to-day liaison between business subject matter experts (smes) and technical teams may support the implementation planning and execution of solutions owns ba deliverables and related compliance on small to medium projects may provide limited guidance to less experienced bas supports organizational change and training involved in analyzing and managing scope changes may have responsibility for some technical/configuration work on third party product solutions executes special projects, as assigned  decision making  makes recommendations for process improvements. determines appropriate ba approach & related techniques  skills / knowledge  strong communication skills, and with some direction can tailor the style and medium to the audience proficient business analysis skills, including user test preparation and management strong facilitation skills experienced in requirements elicitation and management, using a variety of techniques proficient in ms office suite strong analytical skills, with the ability to decompose more complex problems and/or processes into logical parts comfortable operating with at least one applicable project methodology (e.g. waterfall, scrum/ agile) basic understanding of the inputs, deliverables and methodologies of other key solution delivery roles, such as project management, solution engineering, qa, devops, etc.  minimum experience  2 years of relevant business experience and demonstrated business analysis experience in requirements definition, design and test phases of a project   minimum formal education  bachelor's or associates degree preferred   what's in it for you?  tjx has campuses conveniently located off the mass pike and route 495. with us, you'll not only enjoy working for an industry leader, but we also strive to provide a competitive salary and benefits package.  tjx considers all applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, gender identity and expression, marital or military status, or based on any individual's status in any group or class protected by applicable federal, state, or local law. tjx also provides reasonable accommodations to qualified individuals with disabilities in accordance with the americans with disabilities act and applicable state and local law.   the tjx companies, inc.  -  30+ days ago     -   save job"
3,Business Analyst - FX Cash,RBC," rbc      2,378 reviews  -    what is the opportunity? as a business analyst in the it team, you will perform front to back analysis of the foreign exchange (fx) and money market (mm) trading space in rbc capital markets. the objective of the team is to discover, understand, and document the current state of business flows all the way from trade capture and pricing in the front office to settlements and accounting. the team will then define requirements for a complete renovation of the technology stack using murex and new in-house developed micro-services. what will you do? discover and document the current state of systems supporting the fx and mm businesses. communicate with business users to analyze flows and needs and translate to system requirements. work closely with the front office and all related functions including finance, operations and others across rbc capital markets. write requirements definitions and other documents with a focus on readability using visuals and schematics where possible. liaise with development, qa and murex sme teams to clarify business requirements, refine specifications and validate test plans. what do you need to succeed?  must-have: 3+ years’ experience analyzing the requirements of the capital markets front office. detailed business knowledge of areas previously supported. excellent verbal and written communication skills. strong record of understanding and aligning with management direction. ability to multi-task effectively including setting and communicating priorities.  nice to have: solid experience with foreign exchange and money market products. experience with operations, finance and risk functions. familiarity with frtb, mifid and other regulatory programs. what’s in it for you? we thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. we care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual. participation in and ability to influence one of the biggest re-engineering projects in the biggest and most advanced fx bank in canada. the opportunity to learn and work with murex. join a high performance, delivery oriented, international technology team. a comprehensive total rewards program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable leaders who support your development through coaching and managing opportunities ability to make a difference and lasting impact about rbc royal bank of canada is canada’s largest bank, and one of the largest banks in the world, based on market capitalization. we are one of north america’s leading diversified financial services companies, and provide personal and commercial banking, wealth management, insurance, investor services and capital markets products and services on a global basis. we have over 80,000 full- and part-time employees who serve more than 16 million personal, business, public sector and institutional clients through offices in canada, the u.s. and 37 other countries. for more information, please visit rbc.com . get career alerts stay in-the-know about great career opportunities at rbc. sign up for career alerts and get customized info on our latest jobs, career tips and recruitment events that matter to you. expand your limits and create a new future together at rbc. find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers . inclusion and equal opportunity employment rbc is an equal opportunity employer committed to diversity and inclusion. we are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, aboriginal/native american status or any other legally-protected factors. disability-related accommodations during the application process are available upon request. job summary city:  toronto address:  155 wellington st west work hours/week:  37.5 work environment:  office employment type:  permanent career level:  experienced hire/professional pay type:  salaried required travel (%):  0 exempt/non-exempt:  n/a people manager:  no application deadline:  2018-03-31 req id:  158718 posting notes:  [[mfield1]]   18 days ago     -   save job"
4,Business Analyst Canada,American Express," american express      4,939 reviews  -    american express global commercial payments (gcp) is the global leader in the corporate payments solutions space and subsequently continues to be an exciting and fast growing business. to maintain success, accelerating sales and driving profitable charge volume growth are essential for the organization. the global data strategy and insights (ds&i) team, within gcp canada, is instrumental in ensuring achievement of these objectives. the analyst position within the global data strategy and insights (ds&i) organization offers the opportunity to be part of this dynamic organization. the incumbent reporting to the manager of ds&i, will play a critical role in supporting the development of growth and analytic strategies to increase performance and drive execution while working alongside leadership with gcp canada.  the incumbent will support the manager to enhance business decision-making process by providing insightful and analytical recommendations across the sales and ad org’n to drive growth, highlighting trends, risks and opportunities. the individual is also responsible for creating organization targets and accordingly will be responsible for leadership and development dimensions of the segment. qualifications required skills:  strong financial and analytical skills set, with the ability to manage, manipulate and analyse large and complex datasets  strong results focus  proactive approach, willingness and ability to innovate to deliver new insights, new tools and process efficiencies  ability to engage the business in a confident and collaborative manner  excellent communication skills  commercial awareness, with a good understanding of business needs, levers, concerns and trends  advanced sas/ enterprise guide programming skills set and tableau  exposure to american express big data environment (cornerstone)  advanced ms excel is essential  complex problem-solving skills, with regards to identifying and diagnosing data issues when they arise  ability to work under pressure and meet tight deadlines, eye for detail  willingness to challenge status quo and contribute to evolving team’s thinking on systems and reporting  proactive and self-driven. reqid: 18003204 schedule (full-time/part-time): full-time   12 days ago     -   save job"
5,Business Analyst,RBC," rbc      2,378 reviews  -    what is the opportunity? our global capital markets team is looking for an energetic and results-oriented business analyst to work in a dynamic and fast paced environment. you will work closely with our cm it and ops teams on multiple it projects gathering requirements, supporting qa activities, and facilitating transition of projects to production support. you will be responsible for execution of all aspects of requirements delivery - planning, elicitation, analysis and documentation, management, and support. we are committed to keep our people engaged and giving the opportunity to participate in different initiatives and grow within the organization. what will you do? business analysis planning – stakeholder analysis, estimate requirements, manage risks, assumptions & constraints, define business analysis approach, and lead requirements activities to drive business priorities. the responsible for maintaining work flows and data mapping documents up-to-date for our centralized trade data repositories. requirements analysis & documentation – facilitate, elicit, analyze, document, provide consulting and partner with 3rd party vendors. requirements management & support- manage process from elicitation through to testing & implementation. work with development teams to ensure requirements are well understood and acceptance criteria is clear. work with qa teams to ensure test plans are complete and we deliver high quality products/services. work with production support teams to transition support of finished projects. leadership & relationship management – provide guidance and support to junior team members, build relationships internally and externally to create an environment of cooperation, collaboration and teamwork. what do you need to succeed?  must-have: 3-5+ years’ experience as a business analyst in it with strong analytical skills. expertise documenting workflows and data mapping to support development and reporting needs as well as integration with downstream consumers. technical skills:  ability to write medium complexity sql queries and understanding fpml, xml; ability to work in agile environment / iterative approach. experience in requirements planning and prioritization including stakeholder analysis and effort estimation, requirements analysis and documentation previous/current capital markets industry experience (any asset classes)  nice to have: certified business analysis professional (cbap) or project management institute –professional in business analysis certification (pmi – pba) (preferred). understanding of it methodologies, change management & audit requirements. murex fx, rates and credit experience mifid experience what’s in it for you? we thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. we care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual. a comprehensive total rewards program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable leaders who support your development through coaching and managing opportunities work in a dynamic, collaborative, progressive, and high-performing team a world-class training program in financial services flexible work/life balance options opportunities to take on progressively greater accountabilities opportunities to building close relationships with clients about rbc royal bank of canada is canada’s largest bank, and one of the largest banks in the world, based on market capitalization. we are one of north america’s leading diversified financial services companies, and provide personal and commercial banking, wealth management, insurance, investor services and capital markets products and services on a global basis. we have over 80,000 full- and part-time employees who serve more than 16 million personal, business, public sector and institutional clients through offices in canada, the u.s. and 37 other countries. for more information, please visit rbc.com . get career alerts stay in-the-know about great career opportunities at rbc. sign up for career alerts and get customized info on our latest jobs, career tips and recruitment events that matter to you. expand your limits and create a new future together at rbc. find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers . inclusion and equal opportunity employment rbc is an equal opportunity employer committed to diversity and inclusion. we are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, aboriginal/native american status or any other legally-protected factors. disability-related accommodations during the application process are available upon request. job summary city:  toronto address:  155 wellington st west work hours/week:  37.5 work environment:  office employment type:  permanent career level:  experienced hire/professional pay type:  salaried required travel (%):  0 exempt/non-exempt:  n/a people manager:  no application deadline:  2018-03-25 req id:  159056 posting notes:  [[mfield1]]   13 days ago     -   save job"
6,Business Analyst,CIBC," cibc      1,912 reviews  -    we’re on a mission to build the relationship-focused bank of the future and we’re looking for the passionate collaborators, innovators, advisors, and leaders who can get us there. our distinct culture is built on a shared commitment to do what’s right for our clients, our people, and our communities, and we strive for excellence in everything we do. because life at cibc is not only what you do, but how you do it.  to learn more about cibc, please visit cibc.com  what you’ll be doing  as a business analyst, you will join the capital markets/wealth management operations project delivery team to provide end to end project contribution, including accurate requirements gathering, process identification, data analysis, presentations, associated documentation and implementation. you will participate in project delivery including testing and implementation support to advance initiatives and ensure project success. you will be a facilitator between business operations and technology teams in understanding the business's needs and play a key role in the overall organization and success of the project through the entire project lifecycle.  how you’ll succeed  understanding and documenting requirements : you will be working closely with business partners to gather complex business requirements and facilitate requirements and solution discussions to ensure you meet project needs. you will build strong relationships, lead discussions, listen and ask the right questions to ensure requirements are documented and obtain stakeholders approvals. project delivery experience:  you will have a minimum 2 years of project delivery experience (preferably in a financial services institution) this should include the ability to plan, organize, document and present requirements as well as create use cases and test documentation. you will be responsible for the assigned business analysis work packages end to end including responsibility for monitoring and scheduling control throughout the project lifecycle. must have the capability to perform at least 2-3 concurrent activities without reducing productivity. relationship building skills:  you must have strong relationship and teamwork building skills as this role involves working with many different groups including operations, technology and vendors.  who you are  you give meaning to data.  you enjoy investigating complex problems, and making sense of information. you're confident in your ability to communicate detailed information in an impactful way. you're driven by collective success.  you know that collaboration can transform a good idea into a great one. you understand the power of an inclusive team that enjoys working together to bring a shared vision to life. you love to learn.  you're passionate about growing your knowledge, and you know that there is no limit to what you can achieve. you act like an owner.  you thrive when you're empowered to take the lead, go above and beyond, and deliver results. you understand that success is in the details.  you notice things that others don't. your critical thinking skills help to inform your decision making. you embrace and champion change.  you'll continuously evolve your thinking and the way you work in order to deliver your best. values matter to you . you bring your real self to work and you live our values - trust, teamwork, and accountability. what cibc offers  at cibc, our people are our greatest asset. you’ll become part of a diverse community that acknowledges everyone’s unique talents, and empowers teams to do what’s right for the client, and to do it well. as part of our team, you will:  thrive : benefit from an open and approachable culture that provides the flexibility and support you need to integrate your life at work and at home connect : work in a place where the right technology and infrastructure fosters innovation, collaboration and creativity develop:  grow your skills and career through our best-in-class onboarding experience, ongoing learning opportunities, individual development planning   and   comprehensive product training prosper:  share in our collective success with a competitive salary, incentive pay, banking benefits, health benefits program, and employee share purchase plan  what you need to know  cibc is committed to creating an inclusive environment where all team members and clients feel like they belong. we seek applicants with a wide range of abilities and we provide an accessible candidate experience. if you need accommodation during the application or interview process, please contact mailbox.careers-carrieres@cibc.com you need to be legally eligible to work in canada at the location(s) specified above and, where applicable, must have a valid work or study permit this is a regular full time role with a schedule of 37.5 hours each week after hour support for implementation may be required from time to time base on projects assigned.   5 hours ago     -   save job"
7,BUSINESS ANALYST,Treasury Board Secretariat," treasury board secretariat      9 reviews  -   permanent     do you have the skills needed to provide business analysis and technical support in the development and implementation of new and revised business/information systems solutions?  if so, please consider this exciting opportunity within the treasury board secretariat, central agencies i&it cluster, enterprise applications branch.   what can i expect to do in this role? in this job, you will:  identify areas for improvement of operational systems. evaluate potential benefits of technology acquisitions and preparing proposals for approval. review client's business/information requirements and recommend solutions. analyze system requirements and conduct feasibility studies. develop business system specifications and identify detailed process and data models. assist users with implementation of business system enhancements. carry out projects to provide operational improvements related to productivity, product and service costs and service levels.   how do i qualify? technical expertise: you have knowledge of solution delivery methodologies, processes/techniques to elicit and analyze business requirements, architecture, development, testing and deployment. you have experience with computer technologies including operating systems, networks, databases and office automation and collaboration tools. you have knowledge of business analysis tools and techniques (e.g. uml, data/object/process flow, charting techniques, agile, interviews, workshops, etc.).   analytical and reasoning skills: you can identify, analyze and assess information needs, including collecting information using various methods. you can identify and assess feasibility of various options including impacts and risks. you can analyze and evaluate technical problems and develop solutions.   project management skills: you can carry out research and evaluation projects related to product and service delivery costs and service levels.   communication and interpersonal skills: you can conduct interviews with stakeholders and collect necessary information. you can effectively explain options and recommendations including implications and risks to non-technical staff. you can provide training to end users during testing and implementation stages of projects. you can prepare written descriptions of client's information/business requirements and develop technical documentation and reports.   additional information:  address:  2 permanent, 222 jarvis st, toronto, toronto region  compensation group:  ontario public service employees union understanding the job ad - definitions  schedule:  6 category:  information technology posted on:  thursday, march 15, 2018 note:   t-tb-121299/18   ontario public service  -  4 days ago     -   save job"
8,Business Analyst,Johnson," johnson      159 reviews  -   contract     as we continue to strive for effective system solutions, we require a senior business analyst who will:   gather, analyze, communicate and document clear and concise business requirements/functional specifications describing complex business situations and confirm that delivered solutions meet the business needs.  carry out complex work assignments with general direction from the leader and work autonomously to meet needs of the project and timelines   who you are:  your enthusiasm is infectious. you challenge the status quo. you find solutions to problems. you go the extra mile to exceed customers expectations. you get things done the right way. you represent our brand with passion and pride. you are a team player. you have fun and you make work fun for those working around you.   what you will achieve in this role:   lead data gathering workshops for business requirements focusing beyond immediate needs to future working environment knowledge: p&c insurance and specifically claims operations, metrics and information flows skills:  process engineering, techniques, e.g.: o business process model and notation (bpmn) o life-cycle modelling language (lml) o subject-oriented business process management (s-bpm) o cognition enhanced natural language information analysis method (cogniam) o extended business modelling language (xbml)  proficiency with process modelling tools, e.g. adonis, stella  practiced in lean techniques (preferably six sigma certified)  knowledge of claims operations,  good facilitation skills and understand financials/benefit planning platforms: preference to having been exposed to guidewire and claims portals  model business processes and/or data  research, analyse and document clear and complete business requirements/functional specifications  develop functional specifications to address highly complex business needs that may cross various technologies and functional areas  liaise with the technical designers during the design and development stages  create and/or review test strategy and test matrices, execute testing  assist the business and project manager/practice leader to resolve change management issues  facilitate the handover to quality assurance and to implementation.  provide business analysis support during functional and integrated testing of the applications  mentor less experienced business analysts  act as business analyst lead on teams of 2-4 analysts  assist leader in defining business analysis and testing estimates for proposed application solutions   what you bring to this role:   minimum 5 years of hands-on business analyst experience  minimum 2 years of p & c insurance knowledge and experience  in-depth understanding of policy rating and derivation  huon application experience a definite asset  solid understanding of system development life cycle  superior problem solving and analytical skills  effective documentation and communication skills  organizational skills; able to prioritize work and meet deadlines  self starter and effective team player  cip or similar designation  university degree or college diploma in a related discipline or equivalent training and experience   other information:  applicants agree that by providing personal information in response to this ad, and otherwise in any recruitment process with rsa or its affiliated companies (the company) such personal information may be retained and used for a period of one (1) year from the date of this application, for the purpose of consideration for employment opportunities which may arise during that time period, unless an applicant notifies the company to the contrary.we thank all applicants. however, only those selected for an interview will be contacted.we invite you to learn more about us at our career site, www.rsagroup.ca, where you can apply on line. rsa group of companies is strongly committed to diversity and welcomes applications from visible minority group members, women, aboriginal persons, and persons with disabilities, members of the lgbt community, and others who may contribute to the further diversification of ideas.rsa group of companies will provide reasonable accommodation for qualified individuals with disabilities in the job application process.if you have difficulty using our online application system and you need an accommodation due to a disability, please email aoda@rsagroup.ca or call us at toll free 1 (800)-855-0511.  please note this email is only for accommodation requests. resumes sent to this email address will not be considered.   skills: business analyst insurance - property & casualty cip sdlc   5 days ago     -   save job"
9,Business Analyst,Loblaw," loblaw      1,664 reviews  -    location: 1 presidents choice circle, brampton, ontario, l6y 5s5 the decision to join a company is a big one. we have opportunities for hard working, energetic and reliable people just like you. why is this role important? support the growth and development of loblaw brands through planning & analytics around business performance, product portfolio, as well as customer and marketplace trends develop actionable insights that translate into business building strategies and initiatives with the using of internal and external data sources support critical department processes and manage tools to effectively measure against goals and key performance metrics accountabilities: develop and track control brand performance metrics, prepare weekly and periodic scorecards and reports, with insightful commentary on trends/results plan and evaluate program/promotional sales performance in aggregate, and at the banner and store level, and determine performance drivers analyze product mix, pricing, promotions, distribution, etc and make recommendations on how to maximize financial benefits support annual business and category reviews to determine strategic opportunities to drive performance liaise with cross-functional business partners to obtain relevant data, solve problems and create efficient processes conduct ad-hoc analyses leveraging internal & external data sources for business specific issues supporting brand and category teams, including but not limited to consumer research, market audits, customer data analytics role requirements: university or college degree in business administration, marketing, math, computer science or related discipline 3+ years of experience in a related role strong analytical and communication skills superior organization and planning skills; ability to effectively manage multiple tasks and deadlines ability to deal professionally with all levels of the company motivated, independent, resourceful, team player strong technical skills (excel, word, access, powerpoint, sap) experience with query tools (microstrategy, sas, sql) experience with ac nielsen and trend/research databases (mintel, euromonitor, trendhunter, etc) knowledge of food & drug retail industry and brand management #li-ag1 how you’ll succeed: at loblaw, we seek great people to continually strengthen our culture. we believe great people model our values, are authentic, build trust and make connections. if that sounds like you, and you are open-minded, responsive to change and up to the challenges provided in a fast-paced retail environment, apply today. employment type: full time type of role: regular loblaw recognizes canada's diversity as a source of national pride and strength. we have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired. please note: if you have employee self service (ess) on workday, apply to this job via the workday application.   6 days ago     -   save job"
10,Business Analyst,Healthcare of Ontario Pension Plan (HOOPP)," healthcare of ontario pension plan (hoopp)      3 reviews  -   full-time, permanent     this role is in a team that develops and support business solutions for financial modeling. the business analyst is responsible for providing analysis of data, business processes, requirements and relevant documentation for various deliverables within an agile environment.  duties and responsibilities · document requirements, develop and test investment solutions supporting asset liability management and finance  · research financial literature to help with building financial models used for valuation and stress testing  · work in close collaboration with team members/ cross-teams (business analysts and developers) during all stages of solution development.  · perform data analysis to facilitate onboarding of external data sources.  · perform support duties as required in order to maintain levels of service specified by service level agreements. this includes participation to the rotating support shifts for solving issues that affect daily production results of the systems supported by the team.  · coordinate and assist users during user acceptance testing of any deliverables or solutions. ensure all critical test cases have been identified, executed and documented.  qualifications and skills · bachelor’s degree in business/ actuary/ economics/ engineering/ computer science /math and 1 or 2 years’ experience in a related role within the investment management or financial services industry.  · cfa level 1 or interest in financial modeling is considered an asset  · excellent written and verbal communications skills with users, developers and any other stakeholder within hoopp.  · professionalism, integrity, strong quantitative skills, as well as the ability to prioritize assignments and work within a team are essential.  · strong analytical and problem solving skills; self-motivated  · knowledge of features and attributes of vanilla securities and derivatives is required  · good understanding of front-, middle- and back-office processes  · proficiency with basic analysis and modeling tools (ms excel, visual basic, powerpoint, visio) is required.  · understanding of data hub/warehousing concepts, experience with financial modeling systems is considered an asset.  · knowledge of sap hana, simcorp dimension, fincad and numerix applications is considered an asset.  · knowledge of sql language is a must and experience with any other programming language is considered an asset.  · good knowledge of system development life cycle, technique and tools.   30+ days ago     -   save job"
