,title,company,skillText
1,Data Analyst,Aislelabs," aislelabs      -    you want to work on exciting projects with the latest technologies and modern techniques and to work with a team that’s equally passionate about technology and sharing best practices. you would also be required to work closely with our clients to both understand their requests and present them insights from our application. here are our formal requirements: mandatory experience of at least 1 year in either client facing role or direct client communication experience with web technologies, analytics and numbers excellent interpersonal, communication and documentation skills familiarity with using and understanding cloud based software products a science degree (engineering, computer, physics, math, etc) will be a plus experience with google analytics, google adwords, facebook business manager or similar products a plus knowledge of tools like r and tableau a plus strong work ethic with the ability to work independently and if required, flexible hours your typical day (or week) would consist of: assisting customers to utilize and become strategic using the insights and functions available in the aislelabs platform data analysis to prepare presentations and detailed insightful reports analyzing large amounts of data to find patterns and insights running marketing campaigns for the customers growth & culture at aislelabs aislelabs (www.aislelabs.com) is the very definition of a hyper-growth company. last year we doubled our team and quadrupled our revenue; we hope to do the same this year. if you love technology and want to drive markets instead of following them, this is the place to be. we have repeatedly been referred to in the media as one of the most innovative companies around and our host of great products makes it much easier to work with our clients. it is a great culture with a close-knit team from a variety of backgrounds. about us we are a fast-growing software company based in toronto developing innovative analytics and marketing technologies for brick and mortar venues. we have a broad range of wifi and ibeacon-based products and a growing client base from all around the globe. last year, we were included in canada’s 20 most innovative technology companies by canadian innovation exchange (cix). you will join a team of high-functioning and fun people who have built a truly disruptive technology. the founding team has built successful companies in past. we value strong engineering culture with a fun and challenging work environment. job type: full-time salary: $55,000.00 to $65,000.00 /year experience: data analytics: 1 year (required) programming: 1 year (preferred) reporting: 1 year (preferred) saas: 1 year (required) education: bachelor's (required) job location: toronto, on (required)   5 days ago     -   save job"
2,Cloud Data Analyst - Toronto,State Street," state street      1,539 reviews  -    who we are we are a ‘change the bank’ challenge team, working with internal and external partners to develop advanced, digitally enabled solutions that drive significant value to our clients and operating business lines. core to these efforts are the engineering, build and operation of state street's multi public cloud technology infrastructure. in short, we are assembling a team of cloud experts to provide global solutions for our internal groups as well as other financial giants. what you will do as a  data analyst  , we’ll look for you to utilize your domain expertise to tackle the complexities of building and integrating data-centric applications. these applications will transform and enrich digital exhaust emanating from business applications and the infrastructure services supporting them into a collection of insights tailored to address operational and resiliency imperatives. you will be responsible for synthesizing machine generated data (platform and infrastructure metrics) to understand operational performance, identify key trends and initiate proactive alerts. given state street’s global footprint and warehouse computing, this role will be instrumental in the use of machine learning and big data analytics to enable operational resiliency of our next generation platforms and applications. you will develop custom algorithms to aid in data sanitization, correlation and insight generation using open source machine learning packages, statistical routines and mathematics libraries prototype data models and potential enrichment data sources to address high level it operational requirements and metrics you will write specifications based on prototyping outcomes for large scale data centric applications that operate in a real-time manner you will build and maintain data driven infrastructure services, focused optimization models, cost forecasting algorithms and sizing guidelines you will create reporting templates using business intelligence tools to track and monitor key performance metrics / indicators maintain knowledge of developments / trends in use of data for operational management of large platforms utilizing public cloud provider services who you are you have strong data wrangling / data transformation abilities across large, complex non-relational datasets using languages such as r, python and sql. you have prior data mining / analytics experience using packages such as numpy, scipy, pandas, scikit-learn, dplyr, ggplot2. you have strong analytical skills with the ability to collect, organize, analyze and report on significant amounts of information. attention to detail and numerical accuracy is a must for this role. you have proficiency using big data platforms such as spark, hbase, flink and kafka. you have a good understanding of interconnections between complex systems, large scale web architectures and have general knowledge of agile software development concepts and processes. ideally, you have 5 yrs of experience, of which 2 has been in a role leveraging aws, azure or gcp   30+ days ago     -   save job"
3,Data Scientist,Capital One," capital one      5,439 reviews  -    north york (93006), canada, north york,toronto, ontario, at capital one, we’re building a leading information-based technology company. still founder-led by chairman and chief executive officer richard fairbank, capital one is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. we measure our efforts by the success our customers enjoy and the advocacy they exhibit. we are succeeding because they are succeeding. guided by our shared values, we thrive in an environment where collaboration and openness are valued. we believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. we elevate each other and obsess about doing the right thing. our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. together, we are on a quest to change banking for good. data scientist at capital one, data is at the center of everything we do. when we launched as a startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a fortune 200 company and a leader in the world of data-driven decision-making. as a data scientist at capital one, you’ll be part of a team that’s leading the next wave of disruption at a whole new scale, using the latest in distributed computing technologies and operating across billions and billions of customer transactions to unlock the big opportunities that help everyday people save money, time, and agony in their financial lives.  on any given day, you’ll be: writing code to clean and investigate large, messy data sets of numerical and textual data integrating with internal and external data sources and apis to discover interesting trends building machine learning models (linear and logistic regression, gradient boosting, random forest, etc.) from development, validation, through to deployment in production designing rich data visualizations to communicate complex ideas to customers or company leaders investigating the impact of new technologies on the future of digital banking and the financial world of tomorrow  the ideal candidate will be:  curious:  you ask why, you explore, you're not afraid to blurt out your disruptive idea. you probably know python, scala, or r and are constantly exploring new open source tools, and hitting up stack overflow on a regular basis. a wrangler:  you know how to programmatically extract data from a database and an api, bring it through a transformation or two, visualize it (matplotlib, d3 visualization, tableau, etc.) and tell a compelling story about what it all means from a business point of view to less technical colleagues creative:  big, undefined problems and petabytes of data don't frighten you. you’re used to working with abstract data, and you love discovering new narratives in unmined territories. proactive:  you will want to share your knowledge with your peers and contribute back to inner/open source projects benefits your choice of hardware - macbook pro or hp elitebook $5000/year education budget flexible work hours, dress code and environment being part of a large community of data scientists to learn from and grow with  basic qualifications: bachelor’s degree in a quantitative field at least 1 year of experience in open source programming languages for large scale data analysis (python, r, or scala) at least 1 year of experience with version control system like git at least 1 year of experience with machine learning or predictive modeling (scikit-learn, h2o, xgboost, or tensorflow) at least 1 year of experience with relational databases (postgres, redshift, mysql) and using sql  preferred qualifications: master’s degree or phd experience working with aws (ec2, s3, lambda, rds, etc.) experience working with advanced git workflows (pull requests, code reviews, issues, and branching) experience writing unit tests and integrating with cicd tools (jenkins, circleci, etc.) at least 3 years’ experience in python or r at least 3 years’ experience with machine learning / predictive modeling (scikit-learn, h2o, xgboost, tensorflow, etc.) at least 3 years’ experience with sql capital one canada is an equal opportunity employer committed to fostering a diverse and inclusive work environment. we consider all qualified applicants and will meet the needs of those requiring reasonable accommodations. if you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact capital one recruiting at 1-800-304-9102 or via email at recruitingaccommodation@capitalone.com. all information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. for technical support or questions about capital one's recruiting process, please send an email to careers@capitalone.com capital one does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site. capital one financial is made up of several different entities. please note that any position posted in canada is for capital one canada, any position posted in the united kingdom is for capital one europe and any position posted in the philippines is for capital one philippines service corp. (copssc).   30+ days ago     -   save job"
4,DATA ANALYST,Ministry of Health and Long-Term Care," ministry of health and long-term care      34 reviews  -   permanent     are you innovative with a strong background in health analysis?  consider this opportunity to lead and conduct a full range of health analysis utilizing your skills in such specialized areas as epidemiology, health geography, biostatistics, and health system performance measurement.   what can i expect to do in this role? working in the health analytics branch, you will:   conduct health analysis; guide and advise clients in identifying and defining their health analytical needs and project requirements; provide research and analytical support for senior staff, including needs assessment, analysis and syntheses of research material, and the design, production and delivery of end products; conduct background research and provide recommendations on analytical methodology, indicators and statistical applications; prepare performance metrics reports; assist in the development and implementation of communication and training strategies. write and maintain metadata notes, data dictionaries, and data analytic and retrieval codes.   how do i qualify? research, analytical and statistical knowledge and skills: you have knowledge of analytic methods, quantitative research design, and statistical techniques used in health analytics. you have knowledge of health and related databases and statistical software to design and conduct complex integrated data retrievals and analysis. you have research skills to review, synthesize, and critically appraise scientific literature.   analyzing/problem solving skills: you have the ability to conduct comparative analyses of alternative methodologies and run analytic queries. you are able to identify/define health analytic needs and project requirements for smaller-scale project initiatives and requests for health data products, reporting and analysis. you have the proven ability to provide supporting needs assessments, synthesize research, and support the development and implementation of consultation, communication and training strategies.   interpersonal/influencing skills: you have demonstrated presentation skills to communicate data analysis results to internal staff and management. you possess consultation and interpersonal skills to work collaboratively with colleagues and contractors to specify and troubleshoot data processes. you have advisory skills to recommend improvements to internal processes and practices. you have relationship maintenance and partnership building skills to support partnership arrangements. you can work effectively in project teams comprised of internal and external stakeholders. you have demonstrated written and oral communication skills to prepare and review reports and synthesize research.   computer skills: you have proven computer proficiency to access resources, conduct research and statistical analyses and prepare materials.   additional information:  address:  1 permanent, 1075 bay st, toronto, toronto region 1 temporary, duration up to 9 months, 1075 bay st, toronto, toronto region or 49 place d'armes, kingston, east region  compensation group:  association of management, administrative and professional crown employees of ontario understanding the job ad - definitions  schedule:  6 category:  policy and analysis posted on:  wednesday, march 7, 2018 note:   t-hl-120797/18(2)   ontario public service  -  12 days ago     -   save job"
5,Data Analyst,CIBC," cibc      1,912 reviews  -    we’re on a mission to build the relationship-focused bank of the future and we’re looking for the passionate collaborators, innovators, advisors, and leaders who can get us there. our distinct culture is built on a shared commitment to do what’s right for our clients, our people, and our communities, and we strive for excellence in everything we do. because life at cibc is not only what you do, but how you do it.  to learn more about cibc, please visit cibc.com  what you’ll be doing  as a data analyst, you will work with enterprise process management & capability planning to focus on end-to-end process transformation and optimization that will drive a great client experience. reporting to the senior manager or director, you will be responsible for supporting projects that enable our business partners to realize efficiencies within operational process, standardize activities, and improve levels of client/business partner satisfaction. you will be responsible for participating in/overseeing reporting activities that enable our partners to realize efficiencies within operational processes, standardize kpis/metrics, and improve levels of client/business partner satisfaction. you will play an integral role in contributing to the development of business intelligence, an integrated view/plan for data & analytics, measurements, and controls that will be used in reporting identified metrics at multiple levels within cibc. this role will also help define business and process requirements and manage deliverables against business partner expectations and time sensitive deadlines.  how you’ll succeed  maintain  set of process manuals/business requirement documentation, subject to periodic reviews to facilitate data quality attestation and cross-training. work collaboratively within a cross-functional project team(s) while providing support to the senior manager leading the business intelligence/analytics package. this may include supporting deliverables of a moderate to high level of complexity, delivering components of strategic reporting.  identify  metrics, thresholds and business rules for measuring data quality and ensuring adherence with bank and regulatory standards. utilize creative thinking to modify or select the most suitable approach that results in providing cibc with optimum solutions to business issues/challenges. this includes performing specific data or analysis based on business user requests and contribution to automation of reporting requirements, design documents for data quality & data management.  support  projects to completion within required timelines ensuring appropriate artefacts, support of development of executive - ready presentations to summarize findings and recommendations in a concise manner. this would be completed by working collaboratively within a cross-functional project team while providing support to consultants/senior consultants which championing cibc values and support with the highest quality standards and cibc objectives.  who you are  values matter to you.  you bring your real self to work and you live our values – trust, teamwork and accountability.  you have  a degree/diploma in business or engineering  (preferably industrial, manufacturing, or chemical engineering, or engineering science). mba or other master degree, or professional designation would be seen as an asset.  you understand that success is in the details.  you notice things that others don't. your critical thinking skills help to inform your decision making.  you can demonstrate experience  in ms office (excel, word, powerpoint, visio, access, project), sharepoint, macros/ vba programming and sql query analyzer/programming, tableau.  you give meaning to data.  you enjoy investigating complex problems, and making sense of information. you're confident in your ability to communicate detailed information in an impactful way.  you're passionate about people.  you find meaning in relationships, and surround yourself with a diverse network of partners. you build trust through respect and authenticity.  what cibc offers  at cibc, our people are our greatest asset. you’ll become part of a diverse community that acknowledges everyone’s unique talents, and empowers teams to do what’s right for the client, and to do it well. as part of our team, you will:  thrive:  benefit from an open and approachable culture that provides the flexibility and support you need to integrate your life at work and at home  connect : work in a place where the right technology and infrastructure fosters innovation, collaboration and creativity  develop:  grow your skills and career through our best-in-class onboarding experience, ongoing learning opportunities, individual development planning ,  and comprehensive product training p rosper:  share in our collective success with a competitive salary, incentive pay, banking benefits, health benefits program, and employee share purchase plan  what you need to know  cibc is committed to creating an inclusive environment where all team members and clients feel like they belong. we seek applicants with a wide range of abilities and we provide an accessible candidate experience. if you need accommodation during the application or interview process, please contact mailbox.careers-carrieres@cibc.com  you need to be legally eligible to work in canada at the location(s) specified above and, where applicable, must have a valid work or study permit this is a regular full time role with a schedule of 37.5 hours each week. your hours will be based on our banking centre operations, and you may need to work days, evenings and weekends to meet project deliverables and client needs   30+ days ago     -   save job"
6,Data Analyst,Realjaja," realjaja      -    the data analyst is a key member of the tech team maintaining & developing features and functionalities for product data related solutions. this person will work closely with other team members to efficiently delivery high quality data related solutions in a required timeframe. responsibilities: maintain existing data infrastructures and solutions data modeling design new data solutions data analysis from various data sources troubleshooting any data related issues ensure quality of data solutions and delivery in required deadlines qualifications: master degree in computer science, data science etc, phd degree is preferred strong knowledge of relational databases, such as mysql, oracle etc strong knowledge of non-relational database, such as mongodb etc strong knowledge of modern data technologies, such as data warehouse, data lake etc strong knowledge of bi concepts and fundamentals familiar with big data analysis and processing languages, such as python, scala, r etc familiar with big data analysis tools and systems, such as hadoop etc familiar with cloud big data analysis services from aws, aliyun or other cloud platforms familiar with agile/scrum development methodology comfort in working with senior management team comfortable learning new technologies quickly with minimal direction ability to focus in a fast paced environment and multitask under pressure self-starter and good team player, with the ability to work well both independently and with teams to manage multiple priorities and to meet deadlines excellent written and oral communications skills job type: full-time salary: $50,000.00 to $75,000.00 /year required education: master's   19 days ago     -   save job"
7,Data Analyst,Surrey Place," surrey place      13 reviews  -    between technology and goodwill lies a future where society has both the desire and capability to help those who need it most. as a group of professionals who are deeply invested in that future, we’re looking for a like-minded data analyst to join our team. we’re surrey place centre (http://www.surreyplace.on.ca/) , and we help children and adults living with developmental disabilities, autism spectrum disorder, and visual impairments reach their full potential. for more than 50 years, we have pursued passionate commitment to improving the lives of our clients and their families through clinical services, education and research, and have become toronto’s centre of excellence for developmental, autism spectrum disorder, and related health services. we are experiencing rapid growth, and are expanding our analytic team to match the ever-growing needs of our programs. that’s where you come in. as our new data analyst (one-year contract), your role will be to collect, analyze, and report on a range of data sets related to surrey place centre’s programs. using a detailed knowledge of principles related to data analysis, you’ll provide essential support for our operations. you’ll work independently, and within specific teams, to generate robust, accurate reports. you’ll bring confidence and precision to every data set, and provide the steady and reliable analysis that fuels our decision-making and success.  practically speaking, you will:   collect, compile, and analyze data that meets ministry requirements.  develop reports, dashboards and perform ad-hoc queries as required.  respond to specific data requests with reports that are accurate and complete.  acquire data from primary and secondary sources.  perform database audits to ensure data is complete and accurate.  assist in sharepoint maintenance for both intranet and extranet.  this role presents a great opportunity to be a crucial part of a team that does great work. we’re looking for someone who can keep an eye on crucial details while being responsive to ongoing requests, issues and problems. that’s why we’re looking for someone with more than just technical knowledge: we’re seeking a talented problem solver who has the drive to work independently and the collaborative spirit to succeed on a team. working at surrey place centre this is a full-time, one-year contract, 36.25 hours/week. you’ll make an attractive salary in the $26-$33/hour range, commensurate with experience. our office is in the heart of u of t, close to transit, and everything downtown toronto has to offer. our office is recently renovated and open concept, so you’ll have all the space you need to feel comfortable at work.  we take pride in our workforce:  both in their dedication to helping others, and in the talent and professionalism they bring to their jobs. this is a role and organization where you can grow your skills and your career, while feeling deeply satisfied with the role you play in improving the lives of people with developmental disabilities and autism. qualifications   post-secondary degree in information technology or related discipline.  experience working in data analysis/similar role.  in-depth understanding of relational database principles.  demonstrated knowledge of client databases and report generation using crystal reports, access queries and sql server reporting services.  strong computer skills and proficiency in ms office (advanced formatting, lookups, formulas, presentations)  experience working in sharepoint or crm software.  ability to pass a vulnerable sector screening check.  fluency in french is an asset.  how to apply our online application will give you the option to apply to this role as a complete person – not just a resume. the application will assess your qualifications, personality traits and workplace preferences, and should take 10 to 15 minutes to complete. after submitting, you'll receive an email inviting you to log in and view your assessment results. we value diversity and inclusion and encourage all qualified people to apply. if we can make this easier through accommodation in the recruitment process, please contact us with the “help” button in the application. we will review applications as they are received, with priority given to those who have completed the assessment, and look forward to hearing from you   4 days ago     -   save job"
8,Data Analyst,KGS Research," kgs research      -    this position requires an analytical, detail-oriented and quality-driven person with a high level of intellectual curiosity. as a data analyst, you play a role in supporting the delivery of quantitative and qualitative research results to our clients. your work includes a variety of studies requiring sharp time management skills and a keen attention to detail. pull data files at night and check over skip logic let fielding team know where we stand with quotas work on multiple data files at a time spss experience is preferred this will be an evening shift. 6:00pm - 2:00am job type: full-time salary: $17.00 to $19.00 /hour required education: bachelor's job location: toronto, on   4 days ago     -   save job"
9,Data Analyst,Aislelabs," aislelabs      -    you want to work on exciting projects with the latest technologies and modern techniques and to work with a team that’s equally passionate about technology and sharing best practices. you would also be required to work closely with our clients to both understand their requests and present them insights from our application. here are our formal requirements: mandatory experience of at least 1 year in either client facing role or direct client communication experience with web technologies, analytics and numbers excellent interpersonal, communication and documentation skills familiarity with using and understanding cloud based software products a science degree (engineering, computer, physics, math, etc) will be a plus experience with google analytics, google adwords, facebook business manager or similar products a plus knowledge of tools like r and tableau a plus strong work ethic with the ability to work independently and if required, flexible hours your typical day (or week) would consist of: assisting customers to utilize and become strategic using the insights and functions available in the aislelabs platform data analysis to prepare presentations and detailed insightful reports analyzing large amounts of data to find patterns and insights running marketing campaigns for the customers growth & culture at aislelabs aislelabs (www.aislelabs.com) is the very definition of a hyper-growth company. last year we doubled our team and quadrupled our revenue; we hope to do the same this year. if you love technology and want to drive markets instead of following them, this is the place to be. we have repeatedly been referred to in the media as one of the most innovative companies around and our host of great products makes it much easier to work with our clients. it is a great culture with a close-knit team from a variety of backgrounds. about us we are a fast-growing software company based in toronto developing innovative analytics and marketing technologies for brick and mortar venues. we have a broad range of wifi and ibeacon-based products and a growing client base from all around the globe. last year, we were included in canada’s 20 most innovative technology companies by canadian innovation exchange (cix). you will join a team of high-functioning and fun people who have built a truly disruptive technology. the founding team has built successful companies in past. we value strong engineering culture with a fun and challenging work environment. job type: full-time salary: $55,000.00 to $65,000.00 /year experience: data analytics: 1 year (required) programming: 1 year (preferred) reporting: 1 year (preferred) saas: 1 year (required) education: bachelor's (required) job location: toronto, on (required)   5 days ago     -   save job"
10,Junior Reporting Data Analyst,Allied Technical Sales," allied technical sales      -    ats is the industry leader in using technology to revolutionize engineering and design processes .we create tools to help engineers and architects to integrate complex systems quickly and accurately for north america’s most exciting building projects.  ats is, first and foremost, about delighting our clients and we are deeply committed to providing them with exceptional service. we are recognized for our technical expertise and experience, which we apply to help our clients succeed. we have a strong work ethic and will do all that we can to assist our clients complete their projects efficiently. our thriving and motivated culture is the heartbeat of our organization. we hope you will become a part of it! we are currently seeking a dynamic, full time, permanent junior project reporting analyst to join our team.  our qa team builds, verifies, and maintains the data that drives our web platforms. we look for professionals with very strong logic and problem solving abilities who are perfectionists by nature. we manage and deliver cutting edge web platforms that are constantly migrated and updated. you must have the ability to work at an extremely fast pace and contribute effectively to the team in order to deliver our platforms within tight deadlines.   as our junior reporting data analyst, you will: prepare and run precise queries from internal databases to obtain information for tracking and reporting purposes; perform data information collection from internal and external sources; verification and entry into the database; collaborate with fellow team members to interpret ours needs and/or those of our clients; identify, develop and initiate improvements to business processes and reporting; facilitate accurate and customized reporting; continuously use and learn our proprietary software; gain mechanical and architectural product knowledge through daily work and training; carry out other miscellaneous tasks, as needed; as our junior project reporting analyst, you must have: an educational background in a related field such as information technology / marketing / economics / communications / business intermediate to advanced level using microsoft office programs, mysql and crm systems strong interpersonal and communication skills with excellent fluency in english; superior searching and analytical skills; a creative thinker; internet and media savvy; solid written and proof reading abilities, with accuracy and attention to detail; strong organizational, time management, and project management skills; demonstrated ability to work both independently and within a team environment; reliability with a professional demeanor and a willingness to learn; the ability to perform effectively handling multiple tasks or projects; self-development skills to keep-up-to-date with fast-changing technology and trends; some geography knowledge (canada and united states); some experience with php reporting tools is nice to have; fluency in french is an asset. this is a full time, permanent position. salary will commensurate with experience.  please apply including your resume and salary objectives  to careers@atsspec.ca  to learn more about ats’ companies, please visit our promotional video: http://youtu.be/mpyk3bdn-8o  and our websites:  www.atsspec.ca / www.visualspecbuilder.com / www.ats-sales.ca   allied technical sales inc.  values diversity, and is proud to be an equal opportunity employer.  we are committed to the principles and practices of employment equity, and encourage all qualified individuals, including women, persons with disabilities, visible minorities, and aboriginal peoples to apply. if you are contacted for a job opportunity, please advise us of any accommodations needed to ensure you have access to a fair and equitable process. any information received relating to accommodation will be addressed confidentially.   4 days ago     -   save job"
