,title,company,skillText
1,Senior Software Engineer,Rapid7," rapid7      -    rapid7 canada, inc. 2 pardee ave, suite 300 toronto, on m6k 3hs lead software engineer job responsibilities implement features from requirements to shipping through development and interaction with product owners, architects, and release participate with scrum team to plan and commit to iterations of feature development drive towards delivery of commitments through iteration and raise risks early proactively engage cross-functional teams with the goal of ""making it happen"" develop, design, and test software to aid in large scale computer forensics, data collection, and incident response operations work with high level stakeholders to solicit technology needs, deriving requirements, and communicating with established engineering teams develop kernel drivers for using strong knowledge of kernel-level programming for windows, linux, and/or macos work cross-functionally (outside of engineering teams) to coordinate the release of new features and functionality job qualifications strong knowledge of kernel-level programming for windows, linux, and/or macos demonstrated expertise in developing and optimizing multithreaded and network applications knowledge of computer forensics and/or incident response proven experience in problem-solving with little supervision minimum 10 years of experience in embedded software or kernel driver development. demonstrated mastery of english language communication skills written and verbal bachelor's degree in computer science, electrical engineering, computer engineering, or equivalent field. job pluses knowledge of a scripting language such as python, perl, or ruby experience with distributed revision control systems (git) experience in agile software development practices, specifically scrum security domain expertise system administration experience with patching, configuration management and compliance standards apply at rapid7.com $165,000.00 base salary. performance bonus and relocation assistance available benefits include: life insurance, dependent life insurance, and ad&d insurance with the ability to purchase additional insurance coverage short term disability and long term disability coverage health and dental insurance * office is located in toronto this is a permanent position. job type: full-time required experience: embedded software: 10 years required education: bachelor's   30+ days ago     -   save job"
2,"Senior Director, Data Science",Loblaw Digital," loblaw digital      -    looking for a challenge? good. love an innovative work environment? even better. at  loblaw digital  , we know that our customers expect the best from us. whether that means building the best, most innovative online shopping experience, or designing an app that will impact the lives of people across the country, we’re up for the challenge. from our office in downtown toronto, we’ve created leading ecommerce experiences in the online grocery shopping, beauty, pharmacy, and apparel spaces, and we’re only just getting started. we’re able to keep innovating because our colleagues are passionate about their work and excited about the future of ecommerce. if you have big ideas, undeniable enthusiasm, and thrive in a collaborative, creative, and diverse group, we’ll get along just fine. the  senior director of data science  will be leading a team of data scientists, machine learning engineers, and bi developers, responsible for designing and implementing groundbreaking solutions utilizing large-scale data sets. this individual is also responsible for developing the long-term ai strategy, evangelizing the results of the data science team’s research, coordination & collaboration with various internal teams, and working closely with engineering to integrate solutions into our production systems. what you'll do: - lead a team of 12 data scientists, machine learning engineers and bi developers, providing vision, direction, and day-to-day management - define data science and ai/ml strategy across the ecommerce and retail business - work with functional businesses (trading, marketing, operations, supply chain etc.) on solving problems such as customer segmentation, customer engagement, inventory forecasting, and more - lead the development and implementation of scalable, data-driven solutions using hadoop (hdfs, map/reduce, hive, hbase, sqoop, spark, etc.) - lead the bi efforts to centralize data warehousing, and empower business users to self-serve data for insights and analytics using tableau and microstrategy - recruit top talent to continue to invest in loblaw’s data science capabilities what you'll need: - masters degree/phd in a quantitative discipline such as computer engineering/science, statistics, machine learning, applied math, or equivalent work experience - 10+ years of relevant experience in data science or similar field - creative problem solver, resourceful in getting things done, and productive working independently or collaboratively - experience in working with hadoop, mapreduce, hive, hbase and related big data technologies - experience working with large structured and unstructured data sets from multiple sources - experience with recommendation systems & personalization - strong passion for empirical research and data driven decisions - deep knowledge in data mining and machine learning - strong knowledge of and experience with statistics - data visualization experience to present findings at the appropriate level of detail for both business and technology teams. - excellent written and spoken communication skills #li-nk2 how you’ll succeed: at loblaw digital, we seek great people to continually strengthen our culture. we believe great people model our values, are authentic, build trust and make connections. we’re able to keep innovating because our colleagues are passionate about their work and excited about the future of ecommerce. if you have big ideas, undeniable enthusiasm, and thrive in a collaborative, creative, and diverse group, we’ll get along just fine. looking for a challenge? good. love an innovative work environment? even better. apply today. employment type: full time type of role: regular loblaw digital recognizes canada's diversity as a source of national pride and strength. we have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired. please note: if you have employee self service (ess) on workday, apply to this job via the workday application.   30+ days ago     -   save job"
3,Business Intelligence Developer,Lakeside Process Controls Ltd.," lakeside process controls ltd.      11 reviews  -    the business intelligence developer is responsible for strategically designing, developing and utilizing business data at lakeside process controls. the bi developer typically works with databases and other bi software products to mine, manipulate and transform data such that it can be readily used for analysis and decision making, as well as, create and maintain the technology infrastructure to support these actions. this individual will also have responsibility for supporting the business system (ifs) through application development, testing, implementing application changes, and custom events. this individual will also work to define and implement all related policies, procedures, standards, and reports. the bi developer will have main ownership of developing, maintaining and creating new reports where needed. primary responsibilities responsibilities will include, but are not limited to: innovation be the expert on product-centric data mining activities including data analysis, aggregation and management design and develop bi models and data structures that could be consumed for reporting and analysis. this includes creating data warehouses. create technical documentation and use source control to track processes, transfer knowledge, and maintain the accuracy of data. develop reports and in-house applications generate custom software or software that integrates with existing products as is necessary to solve business problems or to meet business requirements. create and validate technical design documents seek out new ways to engineer and manufacture best in class standard reports and dashboards to showcase insights and support tactics write high quality unit tested code internal relations participate in strategy meetings to provide input, gather and document business requirements and help formulate analytical framework provide level 2 support for the business system through problem analysis and working with developers and vendor for resolution of bugs work with developers and suppliers to test and deliver system enhancements counsel the use and interpretation of custom built reports to highlight business intelligence manage day to day workflow and negotiate realistic timeline participate as a team member in major process projects work with business users to review, define, document, and implement business processes. ensure compliance and privacy guidelines are strictly followed interface with service architect and other developers and contribute to technical decisions interact with project managers, business analysts, team leads for effort estimates facilitate uat and qa testing facilitate deployment of changes create user and technical documentation work with business users to refine requirements work on multiple projects with deadlines and manage user expectations. other duties as may be required growth and development guidance and education of others, in order to enforce standardized programming/data presentation participate actively in self and peer development relating to financial products, operational processes, relationship management, and technology enhancement remain current with the technology industry and best practices knowledge & skills required · knowledge of ifs is a requirement · experience managing projects and working with implementation methodologies · experience analyzing, designing, developing and implementing software applications · experience working with git or willingness to learn · expertise in ms-sql – programming sql skills, ability to write and read sql. · generate reports using ssrs (ms sql server reporting services). · ifs technical developer and etl developer, utilizing ssis and ssrs. · strong background as a programmer/analyst · expert in sql server · writing custom codes for ifs reporting, business intelligence cube, stored procedures, and integrations. · web applications - html, javascript, css, server-side language · broad understanding of different it technologies. · knowledge of advanced oracle pl/sql, t-sql, plsql · knowledge of advanced ms- sql (ssis) & ssrs · microsoft power bi report development and maintenance and dax · experience with ifs apps 8, 9 application development, testing and implementing application changes, and custom events · considered a super user for all ifs migrations, training, user setup, training, upgrades and implementations · knowledge of powershell · knowledge of functional and/or statistical programming languages such as f#, python, and r. · understanding of dimensional modelling · knowledge of c# is also recommended as this is a primarily a .net environment. · knowledge and financial systems and statistics is an asset. · knowledge of advanced ms office · knowledge of advanced ms visio · analytical and process skills along with tracking and reporting · problem solving to resolve issues of both the technical and training variety - logically and quickly · highly effective project management skills · strong capacity and desire to learn and apply new technologies and data visualizations · understand, define, analyze, and document required data and information. · interface between technology teams, support teams, and business units. · develop business process models and properly document them. · flexibility to adapt to changing situations. · ability to understand the behavior of software · well organized and attentive to detail. · strong sense of drive, initiative, and you are able to manage simultaneous tasks and responsibilities · exceptional interpersonal skills and ability to work with a varied group of personalities and teams. · confidentiality and professionalism · ability to work independently, demonstrate resourcefulness and problem-solving skills · ability to quickly understand complex problems and devise effective solutions. position benefits as an business intelligence developer you will receive: a competitive compensation package a comprehensive and flexible benefit package including: o medical, dental and vision coverage o paramedical health coverage o health care spending account o ample time off o rrsp matching program role specific training a structured training and development program opportunity to participate in lakeside’s various committees including: o health and wellness, o social responsibility, o joint health and safety o recognition employee and family support o employee assistance program (eap) job overview employment type:   full-time industry:   process automation, industrial engineering education:   bachelor’s degree in computer science or related field engineering background experience:   3+ years in related field manages others:   not required relocation:   not required required travel:   up to 5% job type: full-time required experience: related: 3 years required education: bachelor's   30+ days ago     -   save job"
4,Data Engineer,Telus Digital," telus digital      4 reviews  -   contract     what you’ll do: as a data engineer with telus digital, you will be responsible for designing, building and running the data driven applications which enable innovative, customer centric digital experiences for telus customers. you will be working as part of a friendly, cross-discipline agile team who helps each other solve problems across all functions. as a custodian of customer trust, you will employ best practice in development, security, accessibility and design to achieve the highest quality of service for our customers. our development team uses a range of technologies to get the job done: javascript and babel ( es2015-2016 ) coupled with webpack, react, redux and other libraries to provide a modern, easy to use javascript toolchain. a central design system is used for styling and hosts shared components, while our restful apis are built with node.js powering our custom services. you will be part of the team building an analytics layer across all of these pages and components with the sole purpose of better understanding the use of telus’ digital properties. we mainly use a range of javascript based tools, mainly dynamic tag manager and ensighten. you are a fast learner, highly technical, passionate data engineer looking to work within a team of multidisciplinary experts to improve your craft and contribute to the data development practice at telus digital.  what you’ll be responsible for: learn new skills & advance your data development practice design, develop, test, deploy, maintain and improve the analytics pipeline assist in evaluating technology choices and rapidly test solutions assist the outcome teams in understanding how to best measure their web properties collaborate closely with team members in an agile environment  what you’ll need to be successful: minimum qualifications a passion for data interest and ability to learn new languages & technologies as needed familiar with the execution sequence of progressive web apps basic understanding of design and documentation best practices preferred qualifications experience with small scale ml models experience with google or adobe analytics experience with react or babel this is a full-time, renewable 1-year contract position. about telus digital we’re a product-driven team within telus, responsible for our company’s digital evolution. we simplify the path to production so teams can focus on what matters most. telus digital’s mission is to make life easier for our 12 million customers – and for our team. we build smart, customer-centric and data-driven experiences for telus.com, business.telus.com and the my account app. our team includes a passionate group of strategists, ux and visual designers, full stack developers, content managers, scrum masters, testers, product owners, people experience specialists, and other digital experts.  we’re looking for team members who: share our passion for all things digital thrive in an agile, lean and fast-paced environment clearly see things from the perspective of our customers are curious, experiment and never stop learning embrace diversity and new ideas  what you can expect from us: an environment where you’re encouraged to share and act on your ideas flexible work hours in a central downtown location a welcoming, relaxed office with a casual dress code a culture committed to giving; every year we donate time and resources in our communities weekly lunches with an unending supply of healthy snacks a fun, dynamic team that works and plays every day; great ideas can come as easily during an impromptu hallway soccer match or social team outing we aspire to build the best products. we’re always a work in progress and looking for people to join on our mission and help us digitize telco. learn about our team at http://labs.telus.com . telus is proud to foster an inclusive culture that embraces diversity. we are committed to fair employment practices and all qualified applicants will receive consideration for employment.   30+ days ago     -   save job"
5,Data Engineer,eBay Inc.," ebay inc.      957 reviews  -    looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? want to shape how millions of people buy, sell, connect, and share around the world? if you’re interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join ebay – a company you can be proud to be a part of. ebay inc. is changing the way people connect and shop around the world. our engineers are revolutionizing commerce by building apps, creating new platforms, and solving complex problems at a massive scale. what you work on here impacts the lives of millions every day. software engineers at ebay inc. develop innovative solutions and high-quality products that touch millions of people every day around the globe. our engineers solve some of the most complex technical problems in the world of connected commerce. we’re looking for the highest levels of technical talent and programming skills, as well as a keen desire to deeply understand our products and services to push our technology forward with respect to functionality, performance, reliability, and scalability. you’ll work alongside the best and the brightest engineering talent in the industry. as a data engineer, you will be hands-on with product development, building high-quality software. this role requires partnership and collaboration within b2c selling and other organizations within ebay, so you must have great communication skills and the ability to work well with others. as a core participant of your team, you’ll work in an agile environment rolling out system changes with implications for cross-functional teams, estimating and planning engineering efforts, implementations, and triaging production issues. you need to be dynamic, collaborative, and curious as we build new experiences, improve existing products, and develop distributed systems powering the world’s largest e-commerce website at a scale few companies can match skills & requirements: expertise and solid practical experience in: experience with modern programming languages. we use java, scala and python, so these languages are preferred but not required good understanding of distributed systems and algorithms, network programming, concurrency, file system comfort with the linux terminal and unix tools quick learner, able to grasp and prototype new tools and ideas quickly creative thinking, able to come up with alternative solutions to fit business requirements bonus points: data stores using sql and / or nosql tools, handling large data volumes (terabytes and above), specifically postgres, dynamodb and elasticsearch in our case distributed streaming/data processing tools like spark / hadoop / kafka automation frameworks like fabric / ansible / chef / salt understanding of large system design, including trade-offs in performance vs complexity, speed vs complexity, and extensibility vs complexity the character & qualities that will help you succeed: you're tenacious, persistent, & industrious; not just talented micromanagement makes your skin crawl. given context, you're capable of self-direction and how to spend your time wisely team player who feels at home in an open and flat-structured environment, and takes pride in a job well done you're known as a creative, innovative, & out-of-the-box thinker ebay is a subsidiary of ebay. this website uses cookies to enhance your experience. by continuing to browse the site, you agree to our use of cookies view our privacy policy view our accessibility info ebay inc. is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. if you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com . we will make every effort to respond to your request for disability assistance as soon as possible. for more information see: eeo is the law poster eeo is the law poster supplement r0023168   30+ days ago     -   save job"
6,Data Engineer,DMTI Spatial," dmti spatial      7 reviews  -   contract     job summary we are currently looking for a savvy data engineer to join our team of analytics experts on a contract basis. the hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. the ideal candidate is a passionate data wrangler who enjoys optimizing data systems and building them from the ground up. they must be self-directed and comfortable supporting the data needs of multiple teams and products. the right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives. responsibilities and duties provides operational and technical expertise for data engineering projects related to vector gis data products responsible for producing data products and reference data for software products through gis activities such as digital map production, database compilation, data conversion, and quality control responsibility for full life cycle of data from prospecting data sources through to qa/qc of the end product accountable for providing timely written reports to the management team regarding production related tasks and project status responsible for the completion of assigned agile tasks provide technical assistance to other parts of dmti where required, related to products and software assist in the development, evaluation and maintenance of production methodologies and quality control measures create procedural and workflow documents for projects project management of specific projects other duties as required qualifications and skills education degree or certificate in gis from a recognized post-secondary university or college experience experience with relational databases sql language and server experience strong gis knowledge of fundamental processes and functionality experience with arcgis or mapinfo professional microsoft office (access, excel, word, powerpoint) core competencies excellent interpersonal, written and oral communication skills strong problem-solving ability and organizational skills must be detail-oriented with multi-tasking abilities ability to work under strict deadlines must be a team player, flexible and self-motivated possesses strong commitment to quality and a flair for innovation producing new methods using new source types, suggesting new algorithms or tools preferred qualifications bi-lingual in french is an asset job type: contract job location: markham, on   30+ days ago     -   save job"
7,Data Engineer,Chefs Plate," chefs plate      2 reviews  -    about us chef’s plate is a toronto startup that is redefining the way canadians eat. we provide exceptional food direct to our customers online. since launching late 2014 we have been experiencing hyper-growth and we're looking to bring amazing people, like you, together to build the leading online food brand in canada. the opportunity we are looking for uniquely talented data engineer to join our growing technology team. the successful candidate will be responsible for building our data pipeline infrastructure as well as optimizing data flow and collection across multiple areas of the business. at chefs plate we plan to use data in everything we do, from traditional bi/analysis all the way to cutting-edge ml workloads. the ideal candidate has a background in software engineering with an intense passion for data and the experience to back it up. you’ll combine a scientific approach to data with the practical aspect of building from scratch to establish the data practice at chefs plate. the main areas of responsibility will include data collection, pipeline, infrastructure, and tools. an awareness and appreciation of data analysis in typical use cases within a business environment will also be important. finally, you’ll need to consider best practises for data collection and infrastructure that powers machine learning to solve some of our more complex and interesting business challenges.  requirements: duties and responsibilities  research, proof, and ultimately implement innovative data solutions for all functional areas of the business  establish infrastructure to support data collection, pipelining, storage, and analysis at scale  collaborate with the engineering team to define schema and collect data from all relevant sources  help engineer algorithms to solve problems in customer segmentation, marketing intelligence, and forecasting  support business decisions with ad hoc analysis as required   requirements:   degree in a quantitative discipline such as computer engineering/science, statistics, machine learning, applied math, or equivalent work experience  experience building analytics and data function in a start up environment  infrastructure and e-commerce experience  creative problem solver, resourceful in getting things done, and productive working independently or collaboratively  ability to self-manage priorities and deadlines  excellent written and spoken communication skills  experience with bi/analytics solutions such as tableau and looker  strong passion for building a business and fuelling hyper growth through data driven insight and strategy  familiarity with the aws ecosystem and their data products is ideal  understanding of typical e-commerce metrics and kpis would be beneficial   benefits: why work for us?  competitive compensation including full benefits  discounts on weekly chefs plate meals  the opportunity to get into one of the most intellectually demanding roles at one of the fasting growing e-commerce companies in canada  cutting edge technology, allowing you to work with state-of-the-art tools and software solutions  great national exposure and team atmosphere     26 days ago     -   save job"
8,Data Engineer (Multiple Roles),Scotiabank," scotiabank      2,617 reviews  -    requisition id:  13450 join the global community of scotiabankers to help customers become better off. overview there has never been a better time to join scotiabank as a data engineer. the data engineer role in the data analytics in compliance team at scotiabank is designed for individuals with a curiosity for deriving insights out of data and applying them to address business opportunities. what’s in it for you? exposure to different business lines where analytics techniques are being applied assignment in hands-on practical projects which provide an opportunity to gain new knowledge and develop skills ongoing training and learning program with resources like books, conferences and networking with subject matter experts at analytics in scotiabank a compensation program with competitive salary, opportunities for annual performance incentives based on performance thresholds, a competitive benefits program and continuing education programs.  responsibilities: provide technical expertise in designing and implementing a data model for common usage of the data analytics team in compliance. this includes providing proper documentation and generating data features required for modelling, reporting and adhoc analysis. manage and participate ""hands-on"" in promoting codes into production, software release builds and testing, as well as application deployment mechanisms to development, testing and production environments. provide technical expertise, guidance, advice and knowledge transfer to all development staff on all aspects of code management, automated release builds and code deployment. may be required to carry a beeper/mobile phone and be available at all times to provide support to the system during release builds. maintain a good understanding of the bank's business strategies, business policies, risk management and it processes and disciplines. this requires working with enterprise data management office, technology teams and channels to ensure that the data flow captures all clickstream and transaction data generated from customer interaction through digital channels.  requirements: university degree in relevant stem discipline (computer sciences, electrical/computer/software engineering, mathematics) experience cleaning, transforming and visualizing large data sets working with various data formats (e.g. unstructured logs, xml, json, flat files, audio, image) hands-on experience with big data ecosystem tools (e.g., hive, pig, sqoop, spark, kafka) and experience with nosql databases (e.g., hbase, cassandra, druid) production experience with statistical analysis and machine learning with common machine learning libraries in r, python, spark programming skills in java, c++ or python must have hands-on experience with systems analysis & design experience with unix tools and shell scripting solid sql skills for querying relational databases (e.g., sql server, db2, mysql, sybase) experience using and implementing visualization tools like d3, tableau or qlikview  location(s):  canada : ontario : toronto as canada’s international bank, we are a leader when it comes to inclusion. we are a diverse and global team, speaking more than 100 languages with backgrounds from more than 120 countries. we value the unique skills and experiences each individual brings to the bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. candidates selected for an interview will be contacted directly. if you require accommodation during the recruitment and selection process, please let us know. we will work with you to provide as seamless a recruitment experience as possible.   1 day ago     -   save job"
9,Data Engineer,Quanfury," quanfury      -    quantfury is a toronto based fintech company that revolutionizes retail trading by making it safer, easier and accessible to millions. we secured our a-series funding and are planning to greatly expand our ai team. in this position will offer you the opportunity work on cutting-edge ai technologies with the goal to develop innovative trading strategies. at quantfury we will offer a never seen before data-driven approach to trading. your goal is to fully leverage our data to predict future market behaviors. beyond this unique opportunity, quantfury offers a competitive salary with an excellent work environment. about you masters or ph.d. university degree in mathematics, computer science, or statistics excellent analytical and problem solving skills curious: and keep exploring new technologies and methods for machine learning proactive: you identify issues early on and are able to think three steps ahead in solving them. communicative  :   you love sharing new methods and technologies you learned, as well as love participating and presenting at conferences/meet-ups. familiar with working in a fast paced and dynamic environment; creative problem solving and experienced dealing with big data and building pipeline for processing it job requirements this position goal is to create the data processing pipeline from storing the data stream created by our app to processing them in real time advance understanding in data structure and building big data infrastructure expert knowledge in kafka, hadoop, spark, and scala advanced programming skills in one or more languages: scala, python, or r experienced with linux and shell scripting, and distributed processing with aws and azure familiar with machine learning methods and one or more ml library: tensorflow, pytorch, sklearn, mllib, and keras job summary starting date: immediately our office is located a few minutes northeast of queen and spadina in the heart of toronto's startup hub. our walk and transit scores are both 100/100. interested candidates should send their resume and a cover letter describing their experience and suitability for the position. full time successful candidates must have legal authorization to work in canada on a full-time basis for any employer. only those candidates selected for an interview will be contacted. we are an equal opportunity employer. job type: full-time required education: doctorate   6 days ago     -   save job"
10,Data Engineer,StackAdapt," stackadapt      -    stackadapt is the no. 1 performing native advertising platform helping brands accelerate customer engagement and acquisition. this state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience. ranking the highest in customer satisfaction and performance by g2 crowd in the dsp category for the fourth time, we're one of the fastest growing companies in canada and ranks 6th in deloitte's technology fast 50 ranking and 23rd in fast 500 in north america. we're looking to add a data engineer to our data team! this team works on solving complex problems for stackadapt's digital advertising platform. you'll be working directly with our data scientists, data engineers, director of engineering and cto on building pipelines and ad optimization models. with access to over 150,000 data sets per second, there's no shortage of data and problems to tackle. we'll be responding to applicants that have: proven experience architecting scalable etl / machine learning pipelines (advertising technology experience preferred but not required) strong experience with apache spark strong programming skills in scala (golang and python is a plus) experience in nosql databases such as hbase and aerospike experience with data warehouse technologies such as amazon redshift, hive experience with aws, elasticmapreduce, s3 and ec2 in particular experience working with small to mid-size teams, and a rapid development process experience with airflow or other job scheduling libraries is a plus understanding of machine learning algorithms stackadapters enjoy: competitive salary with bonus structure full benefits from league on day one of employment coverage and support of personal development initiatives (conferences, courses, etc) fully stocked kitchen with healthy (and some not so healthy) snacks an awesome parental leave policy a weekly $15 lunch credit via ritual our weekly friday social events (sometimes on our 4000sq. ft. outdoor patio) quarterly team events like escape rooms, bubble soccer, obstacle courses, indoor skydiving, boat cruises, the list goes on… about stackadapt stackadapt is a digital advertising platform that helps brands accelerate customer acquisition by reaching relevant audiences through native, display, and video advertisements. over the last four years, we have been a pioneer in the native advertising space, applying some of the most progressive work in machine learning and data-intelligence capabilities into real-time campaign optimization. job type: full-time experience: data engineering: 2 years (required)   10 days ago     -   save job"
