,title,company,skillText
1,Senior Product Manager,BiblioCommons," bibliocommons      3 reviews  -    bibliocommons is looking for an experienced product manager to lead our bibliocore product development efforts. in this role, you will help drive product decisions and strategies while collaborating with the founders and across teams.  you are data driven, analytical and an excellent communicator with the experience to lead your team through all stages of the product life cycle.  how you’ll make an impact:  build great products  collaborate with senior management on business strategy, validate market fit, manage constraints and drive priorities through to deployment.  manage a product team (2 product owners, 1 designer) by: ensuring product objectives/epics are well-communicated and understood  effectively communicating requirements to allow for them to achieve release objectives  validating, managing and communicating design roadmap priorities/ deliverables/timelines  build the right products  maintain an in-depth understanding of our market and customer needs by: defining a data collection strategy to drive business decisions  synthesizing inputs from our product portal, library/patron feedback, research, web precedents, analytics and other channels  conducting research and collaborating cross-functionally to understand library issues  act as the “face” of the product in public connecting with customers to provide updates, explanations for timelines and product features  attending and participating in library conferences throughout the year (average 1-2 per year)  keep abreast of technology trends through the analysis of the competitive landscape (this includes digital content delivery services, omnichannel retail, technology usage across demographics, attitudes towards technology, new technologies that may impact bibliocore products in the near or mid-distant future, etc.)  use insights to identify and fill product gaps, generate new ideas to grow market share, improve customer satisfaction and drive growth  align the business for success  communicating regularly with (cross functional teams to ensure our sales and library engagement teams  partnering with the senior management team, sales, support and engineering to ensure cross-functional readiness  develop go-to market strategy by: creating and/or reviewing content for customers and users such as webinars, knowledge base articles, etc.  what you bring:  4+ years experience minimum product management experience in software  demonstrated success defining and launching excellent products  proven ability to influence cross-functional teams without formal authority  excellent written and verbal communication skills  about bibliocommons:  bibliocommons is a toronto based software company that builds saas solutions for public libraries. located in the heart of the entertainment district at spadina and adelaide, we have a team of 70+ people that are passionate about making public libraries accessible, delightful and engaging.  a lot of companies tout ‘social impact’, but at bibliocommons we serve over 8 million diverse users each month by partnering with close to 200 public libraries in canada, us, new zealand and australia. libraries are more than just book stacks— they are public spaces that foster learning, connection, and community in an increasingly isolated world and bibliocommons is bringing that community online with clever software that powers the world’s largest libraries.  bibliocommons is an equal opportunity employer. accommodations are available upon request to support your participation during all stages of the recruitment process.   30 days ago     -   save job"
2,Product Analyst,iA Clarington Investments," ia clarington investments      148 reviews  -    description  reporting to the avp product development & research, the product analyst is a key member of the product development team.  primary responsibilities include:   analysis and reporting of the investment industry competitive landscape, including sales flows, assets, trends, fees, distribution, product structures and corporate development research. development & preparation of written reports for the product development team, senior management team, sales and other senior leaders. reporting speaks from the perspective of ia clarington in relation to the competitive landscape. supporting research needs to contribute ideas and expertise to understand the industry and its competitive forces. act as a technical resource to an executive team audience for certain industry sales, assets, trends and competitive analysis. lead the production of regular reporting for board meetings and senior management by coordinating and contributing to the quarterly product & sales report. monitor new product activity in the industry and begin the process of analyzing and delivering a point of view, or voice, on the relative impact and/or opportunities for ia clarington. starting point to identify and researching new product ideas; such analysis will centre on investment manager performance, process, structure and other metrics. provide recommendations on key decisions concerning new product development and other initiatives as required and provide supporting data for those decisions. relationship management with external third party info providers, such as morningstar and/or strategic insight work on other product development and special corporate projects from time to time in collaboration with the management, product management and sales teams.  qualifications  a strong knowledge of the investment industry and general portfolio management topics is required. post secondary education in business, finance, commerce or similar. a minimum of 3 years of progressive experience within financial services with a minimum of 1-2 years in an analytical role. progress towards the cfa (completion of level 1), cim an asset. completion of csc required. advanced database knowledge of excel. proficiency with fund analytics portals and systems, including morningstar direct, strategic insight, zephyr, bloomberg a strong asset.  ia financial group is committed to fostering a workplace that promotes diversity and inclusion. we can provide accommodation in our recruitment and selection processes to applicants with disabilities where required. please contact your recruiter, or send an email to accessiblecareers@ia.ca   ia financial group / ia groupe financier  -  9 days ago     -   save job"
3,Analytics & Insights Analyst,LoyaltyOne," loyaltyone      42 reviews  -    description: analyst, analytics & insights  location\: toronto, canada  about the analytics & insights group\:  the analytic & insights group at the air miles® reward program provides world class analytical solutions through the delivery of insights that enable our clients to build stronger mutually-beneficial relationships with their customers. the group works directly with the sponsors of the program as well as internal business managers to ensure the successful partnering with our clients.  why work with us?  the air miles reward program analytics & insights practice is growing significantly and we are looking for a well-rounded analytics & insights analyst to join our team in toronto. we are looking for a best-in-class analytics practitioner with a blend of proficient technical skills and strong business acumen. the analyst plays an expert role in the application & execution of consumer data and analytics to support the development of customer-centric business strategies and loyalty marketing for our clients.  what will you be doing?   subject matter expert in loyalty & marketing analytics for the retail sponsor portfolio   contribute to all phases of campaign management (ideation, planning, targeting, list generation, measurement, recommendation) with a focus in pre-analysis and post-analysis   work collaboratively with internal business partners to fully understand external client’s business needs   work collaboratively with internal business partners to clearly define analysis / campaign scope, objectives, targeting & measurement strategy for client’s loyalty marketing initiatives   assist in the translation of business requirements into technical specifications   extract, cleanse and modify raw data from data warehouse, conduct customer analysis or campaign measurement to identify opportunities for clients to maximize the use of air miles reward program to drive incremental sales   present analysis results and recommendations in business language in different forums/meetings   identify further marketing opportunities for our clients by triangulating industry / competitive analyses with external 3rd party information (research, government reports / trends)   create case studies to demonstrate how analytics drive revenue, profit or efficiencies for our clients and for loyaltyone   automate process using sas/sql and/or make suggestions to tool / process improvement to drive operational efficiency   ensure timely completion of analysis while maintaining high quality   balance the demands of multiple concurrent projects while maintaining a high level of diplomacy   respond to ad hoc requests (internal & external) for analysis, data and information on a regular basis   contribute in other corporate strategic initiatives as required   qualification: what will you bring?  bachelor’s or equivalent degree in any of the following (or combination of)\: statistics, economics, computer science, engineering, math   minimum of 2-3 years of customer analysis / insight delivery experience in a complex data-driven organization.   expert knowledge in campaign management, experimental design, customer analytics, crm, segmentation, modeling   technical skills - experience with excel, access, sas, sql, r, relational databases, data warehouses, analytics systems (e.g. microstrategy); strong analytical & data mining skills; intermediate predictive modeling / machine learning experience; experience with both qualitative and quantitative consumer research techniques   business skills - strong understanding of banking or financial services - direct marketing (market research, experimental design); interpret research, extracting insights, linking to strategies, and communicating a compelling summary of findings and drive results, client communication and presentation.   about loyaltyone\:  loyaltyone is a global leader in the design and implementation of coalition loyalty programs, customer analytics, and loyalty services for fortune 1000 clients around the world. loyaltyone has over 20 years history leveraging data-driven insights to develop and operate some of the world's most effective loyalty programs and customer-centric solutions. these include the air miles reward program, north america's premier coalition loyalty program, precima, the global retail strategy and analytics arm, loyaltyone consulting, european-based brandloyalty, and latin america's leading coalition program, dotz. loyaltyone is an alliance data company. www.loyalty.com  about ads\:  alliance data® (nyse\: ads) is a leading global provider of data-driven marketing and loyalty solutions serving large, consumer-based industries. the company creates and deploys customized solutions, enhancing the critical customer marketing experience; the result is measurably changing consumer behavior while driving business growth and profitability for some of today's most recognizable brands. alliance data helps its clients create and increase customer loyalty through solutions that engage millions of customers each day across multiple touch points using traditional, digital, mobile and emerging technologies. an s&p 500 and fortune 500 company headquartered in plano, texas, alliance data consists of three businesses that together employ more than 16,000 associates at approximately 100 locations worldwide. www.alliancedata.com  alliance data is an equal employment opportunity employer. accordingly, we will make reasonable accommodations to respond to the needs of people with disabilities in accordance with legislation.  alliance data participates in e-verify.   30+ days ago     -   save job"
4,Data Analytics and Automation Controls Testing Manager,BMO Financial Group," bmo financial group      1,499 reviews  -    the mandate of the centralized tbcg is to lead effective technology control design and operating effectiveness, through sustainable processes and interactions across enterprise technology, all lines of defense and regulators, in order to operate within bmo’s established risk appetite threshold to support operational excellence and strategic growth.  the technology business controls group’s (tbcg) process risk & control (prc) evaluation and testing function mandate is to own the assessment of technology controls, assess adherence to the prc framework and drive planning and execution of technology control testing. the testing manager for data and analytics function lead will oversee the assessment and testing of technology controls for the following prc framework components: governance, strategic management, information security, application and infrastructure development, service delivery and service support via automation and data analysis. the function lead will make recommendation on changes to prc framework based on the learnings from control testing. the lead’s mandate also includes developing new capabilities in the function and implementing new tools and processes, as required to support and help execute the tbcg’s mandate.   specifically this role will:  play a leadership role inthereview, ongoing assessment and testing of internal controls related to bmo’s prc framework. this includes test preparation, test execution and providing recommendations on the status of the controls and issues under test. play a leadership role in providing the results of automated monitoring and testing viakey performance indicators (kpi) and key risk indicator (kri) metric reporting. demonstrate leadership through expert knowledge and understanding of the bank’s prc framework, methodologies and processes. guide the function on best practices relating to prc framework. support the analysis of issues and risks to identify root causes, triggers and help understand the complete regulatory impact. respond to the queries from corporate audit division (cad), and 2nd line, as needed, in the context of prc testing, review of technology controls, and cad retest readiness for remediated control deficiencies drive evaluation and post-remediation testing of all significant technology controls deficiencies identified by regulators, cad, 2nd line of defense and self-identified. provide inputs into internal review of technology controls and cad retest readiness for remediated control deficiencies. function leadership:  establish annual goals and objectives for areas of accountability, and articulate the execution plan. contribute to the strategic planning process with tbcg testing director. assist in the implement the prc evaluation and testing function within the bank, coordinating across the risk and controls communities to support risk related awareness strategies and programs. champion and promote a technology risk management culture within the function and at a broader organization level. thoroughly understand bmo’s technology risk profile and risk appetite. provide leadership in development of applicable policies, procedures, processes, and training programs to facilitate compliance with risk requirements. operations management:  ensure there is appropriate alignment conducive to effective interactions within the tbcg organization and others in the bank. develop innovative approaches to creating solutions to resolve problems and significant issues within the function. general management:  build and maintain a high performing team by establishing a culture and work environment that attracts, retains and motivates a diverse, skilled workforce in order to maintain a high degree of employee professionalism, commitment and desire to maintain updated skills and knowledge. identify training, development needs; create and implement appropriate development plans, including monitoring, documenting and providing regular feedback on performance. actively challenge the status quo to find new ways of doing things, looking for best practices and continuous improvement opportunities. prc evaluation & testing function:  supervise testing of key technology controls on an annual basis, ensure that test results are documented, verifiable, transparent, re-performable and provide the assurance that technology controls are designed and operating effectively. demonstrate expertise in dealing with technology organization, other tbcg functional leads, and key stakeholders (risk management, compliance) on topics related to prc framework. drive evaluation and post remediation testing of allsignificant technology control deficiencies identified by regulators, corporate audit (cad), 2nd line effective challenge or self-identified. provide advice on prc framework, based on learnings from testing and as it applies to the technology organization. qualifications  knowledge:   proven experience in leading a 5-10 member team. commanding understanding of bank’s prc framework. strong understanding and command over control testing requirements. solid understanding of testing frameworks and test execution leveraging global resource pool. strong understanding of the banking industry risk appetite, policy, reporting structure, procedures and processes. strong understanding of technology and risk management organization, landscape and disciplines. demonstrated industry and regulatory knowledge gained through experience and relationships. demonstrated time management and organizational skills with the ability to prioritize and manage multiple initiatives in order to meet deadlines while ensuring high quality of work produced. excellent team player with demonstrated relationship management skills and a strong ability to make things happen through the use of positive influence. superior communication (written, oral and presentation) skills with the ability to understand complex information and summarize in a clear, concise fashion. advanced facilitation, influence management, consensus building, presentation skills and the ability to present to senior management and executive audiences. ability to manage competing priorities and set expectations to ensure that all stakeholders are considered. clear-thinking with the ability to consistently deliver high quality work under pressure with the ability to act fast, within tight time frames and limited direction.  skills:  strong leadership, strategic and planning ability. ability to conceptualize and implement appropriate tools and templates for control testing. ability to apply best practices and effectively manage emerging risks. excellent ability to understand, describe, and navigate existing work, organization and power structures, and make recommendations with a clear sense of organizational impact. excellent conceptualization, presentation and communication skills in working with senior executives, managers, auditors and regulators. critical thinking, ability to capture enterprise view and team building skills.  qualifications:  bachelor’s or master’s degree or equivalent work experience. 10 or more years of controls and process testing experience. 7 or more years of it experience in financial services industry. advanced knowledge of process risk and control frameworks. advanced knowledge of controls audit is as asset. proven and demonstrated experience to manage large team. one or more of cisa, cpa/ca, cia and cissp designation would be an asset. we’re here to help  at bmo we have a shared purpose; we put the customer at the centre of everything we do – helping people is in our dna. for 200 years we have thought about the future—the future of our customers, our communities and our people. we help our customers and our communities by working together, innovating and pushing boundaries to bring them our very best every day. together we’re changing the way people think about a bank.  as a member of the bmo team you are valued, respected and heard, and you have more ways to grow and make an impact. we strive to help you make an impact from day one – for yourself and our customers. we’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. from in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.  to find out more visit us athttps://bmocareers.com/.  bmo is committed to an inclusive, equitable and accessible workplace. by learning from each other’s differences, we gain strength through our people and our perspectives. accommodations are available on request for candidates taking part in all aspects of the selection process.  jobinformation technology primary locationcanada-ontario-toronto  organisationtechnology canada-x000068 schedulefull-time job posting03/15/18 unposting dateongoing   30+ days ago     -   save job"
5,"Manager, Data Analytics",Sanofi US," sanofi us      2,415 reviews  -    key accountabilities develop and manage site statistical process control and continuous process validation program, working with multiple stakeholders across the organization extract, transform and analyze data from multiple data sources ensuring data quality and integrity is maintained from source to the final output develop and implement algorithms to support analysis using advanced statistical and mathematical methods develop and implement process analytical technologies to reduce variability, improve process robustness and achieve improved level of process understanding support validation activities, manufacturing investigations, root cause analysis, and small scale studies and design of experiments provide clear and concise oral and written communication education ms or phd in computer science, statistics, mathematics, or a similar field minimum 3 -5 years industry experience strong knowledge in one or more of the following areas: statistics, data mining, machine learning experience strong experience in delivering insights through statistical data analysis, data modeling and data visualization experience using tools such as r, sas, sas jmp, python, matlab, statistica experience with developing business requirements, use cases and user stories in a data analytics context experience with industrial internet of things is a plus experience with big data tools is a plus exposure to data warehousing and business intelligence tools exposure to best practices in data management and data governance practices ability to deliver projects with complex requirements and a strong customer focus ability to influence and communicate with a diverse group of stakeholders from multiple levels of management ability to succeed in a team-oriented environment under very dynamic conditions project management and people management experience is a plus #li-sp sanofi is dedicated to supporting people through their health challenges. we are a global biopharmaceutical company focused on human health. we prevent illness with vaccines, provide innovative treatments to fight pain and ease suffering. we stand by the few who suffer from rare diseases and the millions with long-term chronic conditions. with more than 100,000 people in 100 countries, sanofi is transforming scientific innovation into healthcare solutions around the globe. sanofi, empowering life   sanofius  -  12 days ago     -   save job"
6,"Manager, Data Scientist, Data Analytics",BMO Financial Group," bmo financial group      1,499 reviews  -    what is the opportunity?  the manager, data scientist, works with business and technology partners to lead the design, development, and implementation of advanced analytical solutions that drive measurable business outcomes and create a distinctive customer experience. in this role, you will engage senior business partners to dissect business problems, conduct research and analysis, generate ideas, structure data and building end-to-end statistical and machine-learning solutions.  this is an exciting opportunity that is on the forefront of a critical enterprise capability and priority for the bank. as a change agent, you will be providing thought leadership to the enterprise on the value of data, analytics and machine learning and get to work with lines of business across the bank to help them achieve their objectives.  this role would be attractive for data scientists who have experience with big data analytics on large volumes and wide varieties of structured and unstructured data, and are looking to gain a wide exposure to problems in the financial industry.   what will you do?  support business partners and advocate the benefits of advanced analytic and machine learning, work collaboratively to define analytical solutions for priority business problems participate in partner interviews, brainstorming sessions and workshops to capture business objectives and prioritize opportunities translate business objectives into high quality analytical and machine learning-based end-to-end solutions that are innovative and drive real business outcomes building high quality analytic solutions that are intuitive for senior audiences, simple to maintain, and drive real business outcomes responsible for the design, development, and implementation of innovative analytical solutions, including but not limited to: data cleansing, statistical transformation, feature engineering & selection predictive modelling techniques such as supervised/unsupervised learning, network analysis, optimization & natural language processing visualize & build storyboards on model outputs and insights model production/deployment and performance assessment contribute to enterprise data and analytics strategy and champion adoption of enterprise analytics capabilities, including “big data” platforms and open source tools qualifications   what do you need to succeed?   knowledge  possesses a university degree in mathematics, statistics, engineering and/or physics, (masters and/or phd preferred) and/or 5+years of experience in advanced analytics, finance and/or consulting experience in optimization techniques and approaches, with real world application to business problems experience using a wide range of analytical techniques: supervised learning, clustering, natural language processing (nlp), recommender engines, time series analysis, a/b testing, network/link analysis and sentiment analysis advanced skills in python and/or r, including relevant packages and statistical testing methodologies experience in building and presenting data driven insights through business intelligence tools such as spotfire and/or tableau skills  demonstrates solid communication skills (both written and verbal) and relationship management skills at a senior management level exhibits advanced critical thinking skills, integrative skills and creativity to drive innovation demonstrates ability to build a good fact base, apply sound reasoning, and generate relevant recommendations that get implemented and lead to business success able to work highly independently and manage multiple priorities in an agile fast paced environment possesses solid leadership skills and is able to work successfully with a team that has diverse skills, knowledge, and educational backgrounds we’re here to help  at bmo we have a shared purpose; we put the customer at the centre of everything we do – helping people is in our dna. for 200 years we have thought about the future—the future of our customers, our communities and our people. we help our customers and our communities by working together, innovating and pushing boundaries to bring them our very best every day. together we’re changing the way people think about a bank.  as a member of the bmo team you are valued, respected and heard, and you have more ways to grow and make an impact. we strive to help you make an impact from day one – for yourself and our customers. we’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. from in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.  to find out more visit us athttps://bmocareers.com.  bmo is committed to an inclusive, equitable and accessible workplace. by learning from each other’s differences, we gain strength through our people and our perspectives. accommodations are available on request for candidates taking part in all aspects of the selection process.  jobinformation technology primary locationcanada-ontario-toronto  organisationdata governance & analytics-x004874 schedulefull-time job posting03/05/18 unposting dateongoing   30 days ago     -   save job"
7,"Manager, Customer Analytics",The Economical Insurance Group," the economical insurance group      21 reviews  -    manager, customer analytics   you are an expert on extracting meaningful insights from data to generate true business intelligence and you are passionate about user experience and seeing it as a foundation for driving sales across all digital platforms. you will collaborate with other teams to achieve this goal, including: marketing, customer service, content, and business development.   the manager of customer analytics will take a customer-centric view of all the data across the digital platform to generate key insights and in depth understanding of the customer base, to help drive both strategic and tactical decisions.   who we are:  we are sonnet , canada’s smart new insurance done completely online. we set out to change how canadians feel about insurance, and that means changing how we think about customer service too.  we look for people who, like us, care enough to change everything. people who love people, who don’t take themselves too seriously, can work in ambiguity, support each other and communicate authentically. simply put, we value people who are real. also, we are a technology company, so self-professed digital geeks are more than welcome.  if all that doesn’t sound like you, then stop reading now! if it does sound like you, read on!   who we’re looking for:  passion and curiosity for data analysis and putting insights into action you’re a natural coach and mentor you have strong written and verbal communication skills your work ethic drives you to take on large challenges and see them through to completion you collaborate well will others, sharing your ideas, and listening to and integrating those of others your responsibilities:  understand the customer base across the customer lifecycle, from acquisition, retention, reactivation or winback. be investigative and proactive in finding the data that answers the “why” of customer behaviour and engagement. analyze and distill customer behaviour data into relevant insights and link these to potential opportunities or impacts to the business. build and report: web analytics tracking to understand traffic, the conversion funnel, and product interests to help the marketing team deliver effective programs. translate analytics and insights into well-structured and thought out kpi dashboard for various audiences, from executive level to tactical level. identify opportunities to use customer, web, and other data to develop forecasts, statistical models, segmentation schemes, and other data-driven analyses to drive customer acquisition and conversion. investigate and identify new analytics opportunities that will shape the future of the business by explaining methodology to business users to attain buy-in, implementing analysis and delivering interpreted results. experience & skills:  bachelor's degree or comparable education in analytical field such as math, statistics, engineering, business. marketing and/or mba also an asset. minimum 5 years of experience in leading and executing data-driven customer analytics. python, r, other data science languages and tools. c omfort with systems and technologies that enable crm, research, and analytics capabilities. experience with building systems and processes from scratch. strong analytical mind and a passion for metrics and kpis. cares about performance, quality of results, analytic and data-driven decisions, using the right tools and best practices. what you’ll experience:  an incredible team of smart, diverse, and supportive people that want to help you be better at what you do great benefits, ongoing education, and competitive pay unexpected perks to keep things fun how to apply:  please complete the online application and include a current resume. be sure to include a link to your online portfolio (if available) in your resume — we’d love to see your work in action.  at economical we are committed to providing an inclusive work environment that welcomes diversity and supports accessibility across the organization.  if you require accommodation at any time during the recruitment process, please let us know at hrsharedservices@economical.com and we will work with you to meet your needs.   3 days ago     -   save job"
8,Customer Analytics Manager,Colgate-Palmolive," colgate-palmolive      1,429 reviews  -    colgate-palmolive is a leading global consumer products company, tightly focused on oral care, personal care, home care and pet nutrition. colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as colgate, palmolive, speed stick, lady speed stick, softsoap, irish spring, protex, sorriso, kolynos, elmex, tom’s of maine, sanex, ajax, axion, fabuloso, soupline and suavitel, as well as hill’s science diet, hill’s prescription diet and hill’s ideal balance. for more information about colgate’s global business, visit the company’s web site at http://www.colgatepalmolive.com. to learn more about colgate bright smiles, bright futures® oral health education program, please visit http://www.colgatebsbf.com. to learn more about hill's and the hill’s food, shelter & love program please visit hillspet.com. to learn more about tom’s of maine please visit http://www.tomsofmaine.com. location: toronto, ontario, canada relocation assistance offered within region # 62641 job summary: provides insights and analytics and develops business recommendations for a specific customer account, taking into consideration cp’s strategies and the customer’s business challenges. drives category growth for both the customer and colgate  specific responsibilities : describes the key responsibilities/accountabilities as well as the degree of authority of the generic job deliver category growth and sales targets within investment guidelines and alignment with brand strategies capability for pulling data from various data sources and drawing insights as well as interpreting shopper and consumer research to drive category solution development with the customer continuously track category trends, dynamics, and insights. understand the impact of the 5p's (promotion, placement, pricing, placement, pop) on the category at the customer. identify 5p opportunities and make recommendations. understand the impact of activities at competitive customers and develop plans that will give customers a competitive advantage understand colgate's kpi's and category development manager's impact on these kpi's drive colgate growth using category expertise, without sharing confidential information complete regular business reviews with customers and annual top-to- top reviews basic qualifications: bba, b. comm or equivalent 2-5 years of experience in the consumer products industry expected areas of knowledge, skills and abilities: solid analytical skills solid understanding of colgate’s category management/retail category development principles preferred proficiency in working with cross-functional teams to achieve business results proficiency in microsoft applications word, excel, powerpoint, access, pivot tables, lotus notes, nielsen's answers desktop and jda space planning are you interested in working for colgate-palmolive? you can apply to work with us using this online application. attach all relevant documents such as a cover letter and resume or cv. applications received by e-mail are not considered in the selection process. become part of our team. we look forward to your application. equal opportunity employer colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, or any other characteristic protected by law.   11 days ago     -   save job"
9,"Marketing Manager, Insights and Analytics",Boston Pizza," boston pizza      1,209 reviews  -    the marketing manager of insights and analytics will be responsible for formulating executive marketing reports on our major key performance indicators (kpi’s), program analysis and summaries for management review. this individual will also manage or support a variety of guest research initiatives including but not limited to boston pizza’s community insights panel, brand tracking, segmentation, ad testing, and menu/industry specific research.  this role will also have the ability to provide analysis/insight support to guide recommendation on future strategy and planning to the business in key areas around marketing communications and food/beverage offerings.  duties and responsibilities including but not limited to:   program analysis including the impact of existing and proposed marketing programs  prepare monthly and quarterly business reviews inclusive of insights and recommendations on sales opportunities  use statistical techniques to make conclusions and derive insights from the data  develop trending analysis to support sales forecasting and predictive analytics  prepare dashboards templates for performance tracking and consumer analytics  perform ad-hoc reporting requests from executive team  consult and support the marketing team on ad-hoc analysis requests  menu analytics  review category/industry data to determine trends, challenges and opportunities  ongoing panel management involving analytics and survey programming  use applicable data to develop key guest intelligence to aid in decision support.    the ideal candidate will have experience and/or an understanding of the following:   bachelor’s degree, ideally in marketing, business, or commerce  5+ years of experience solving business challenges with insights and data  need to be able to translate large amounts of data into concise findings  an understanding of basic statistical analytical techniques  ability to work effectively in a team  must be proficient with excel, powerpoint  experience with powerbi or similar data visualization tools would be beneficial  ideally experience /familiarity with both quantitative and qualitative research techniques  experience in survey writing  proven project management experience, managing diverse and complex projects  superior ability to multitask with strong organizational skills  strong written and verbal communication skill a must   11 days ago     -   save job"
10,"Manager, Data Science",Deloitte," deloitte      5,983 reviews  -    job type:  permanent primary location:  toronto, ontario, canada all available locations:  toronto external posting description a career in the strategic analytics & modelling practice at deloitte will offer you the opportunity to: work in a fast growing and challenging environment with business-minded people with creative-solving problem skills, who are eminent in their respective technical field and/or industry develop advanced analytical solutions within our analytics team, across service lines at deloitte, and with clients in multiple industries including financial services, consumer products, manufacturing, energy & resources, insurance, public sector, and healthcare continue your professional development to reinforce and expand your chosen career path work with high profile clients on a variety of canadian and international engagements responsibilities  as a manager, you will: manage different components of projects including managing teams of analysts and senior analysts of various sizes, day-to-day execution of the analytical solution and overall project, and communication with internal stakeholders and external clients. take a leading role in delivering advisory services to high growth organizations with a diverse team consisting of data scientists, data architects, software developers, information designers, and business/industry subject matter experts lead the development of the methodology for analytical solutions for clients business problems perform “hands on” statistical modelling, computations, and data etl to deliver best-of-breed analytical solutions for clients’ business problems work with large amounts of data on a granular level, from structured and unstructured data sources participate in various structured and ad-hoc analysis projects with cross-functional teams within deloitte lead the planning, data collection, data analysis, and management of proposal bids external posting qualifications strong track record exemplifying ability to quickly understand business problems, developing solutions and insights, and communicating them by leveraging data and analytics project management and people management experience is required managing client projects and consulting with internal and external stakeholders directly enthusiastic about solving complex problems with a variety of analytical tools professional services, consulting, or advisory experience is an asset data analysis experience using (one or more):  r, spss modeller, spss statistics package, sas, angoss knowledge studio, rapidminer, or similar tools is required database and programming languages experience and data manipulation and integration skills using (one or more) sql, oracle, hadoop or similar tools is required strong experience with statistical analytical techniques, data mining, and predictive models is required strong experience working with large amounts of data with significant ambiguity, developing creative approaches to analytical problems, and interpreting data and results from a business/industry perspective experience with social media analytics and/or text mining and/or optimization is an asset strong oral and written communication skills is required 5 – 8 years relevant work experience with applying analytics or working with data in any industry minimum of ba/bsc degree in a quantitative degree including applied mathematics, statistics, epidemiology, computer science, engineering, or related field is required. advanced degree (ma/msc, equivalent or higher) is preferred. why deloitte? launch your career with the one firm where you can make a greater impact than you ever thought possible. with endless opportunities at every turn, and a culture built to support and drive our people to be the very best they can be, deloitte is the one firm for you to learn, grow, create, and lead. at deloitte, we understand that everyone, and their career goals, are different. as a firm, we help create the conditions and opportunities that will enable our people to thrive – both professionally and personally. we do this by making three commitments to our people: you will lead at every level:  we grow the world’s best leaders so you can achieve the impact you seek, faster. you can work your way:  we give you the means to work how you want, and we have innovative spaces and the mindset to help you be wildly successful. you will feel included and inspired:  we create a deep sense of belonging where you can bring your whole self to work. apply now and let us show you how to push your career to the next level at deloitte. the one firm. for you. deloitte is an inclusive employer dedicated to building a diverse workforce. we encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective provincial human rights codes throughout all stages of the recruitment and selection process. please advise the recruiter to ensure your accessibility needs are accommodated throughout this process. information received relating to accommodation will be addressed confidentially. we thank all applicants in advance for their interest; however, only those candidates selected for an interview will be contacted 33243   11 days ago     -   save job"
